attractive bored courageous dull putrid stupid uninterested scary weary good
stupid cruel pleasant dead annoyed embarrassed innocent elated disgusted fancy
fine depressed lazy uninterested different famous frail annoying blue inexpensive
annoyed cautious awful adventurous upset average hungry wandering expensive outrageous
famous talented splendid happy worrisome average proud defiant zany smoggy
condemned famous victorious poor smoggy better calm hilarious crazy crowded
horrible ill smoggy fantastic friendly attractive blue clumsy attractive strange
hurt arrogant spotless combative gleaming aggressive lucky jealous splendid agreeable
careful shiny homely stormy dangerous grumpy distinct proud relieved talented
nervous motionless scary dangerous cheerful strange repulsive misty smoggy jittery
helpless healthy bad bright muddy confused bright outrageous grumpy odd
temperature__69c temperature__11c temperature__0c temperature__46c temperature__69c temperature__24c temperature__142c temperature__3c temperature__136c temperature__30c
temperature__145c temperature__11c temperature__118c temperature__28c temperature__120c temperature__17c temperature__64c temperature__130c temperature__57c temperature__138c
temperature__148c temperature__12c temperature__17c temperature__24c temperature__119c temperature__47c temperature__61c temperature__93c temperature__116c temperature__31c
temperature__120c temperature__8c temperature__131c temperature__71c temperature__123c temperature__39c temperature__131c temperature__7c temperature__49c temperature__33c
temperature__146c temperature__82c temperature__78c temperature__10c temperature__64c temperature__50c temperature__106c temperature__14c temperature__78c temperature__41c
temperature__87c temperature__0c temperature__100c temperature__59c temperature__35c temperature__52c temperature__28c temperature__74c temperature__5c temperature__140c
temperature__39c temperature__24c temperature__137c temperature__142c temperature__35c temperature__42c temperature__116c temperature__39c temperature__111c temperature__84c
temperature__2c temperature__14c temperature__132c temperature__111c temperature__120c temperature__78c temperature__108c temperature__57c temperature__139c temperature__8c
temperature__74c temperature__87c temperature__105c temperature__112c temperature__124c temperature__12c temperature__93c temperature__54c temperature__4c temperature__51c
temperature__138c temperature__68c temperature__59c temperature__6c temperature__108c temperature__93c temperature__31c temperature__5c temperature__120c temperature__91c
temperature__79c temperature__14c temperature__11c temperature__70c temperature__53c temperature__145c temperature__0c temperature__57c temperature__105c temperature__148c
Canistel Akebi Elderberry Mango Tamarillo Longan Fig Plumcot Lulo Pineapple
Cashew Grape Mulberry Salak Cloudberry Blackberry Fig Nectarine Rambutan  Pomegranate
Honeyberry Currant Jambul Pineapple Raisin Jostaberry Salak Lemon Ackee Melon
Raisin Blueberry Cherimoya Lulo Lime Pomelo Bilberry Jujube Lulo Plum
Ximenia Mango Gooseberry Honeydew Apricot Cherry Plum Passionfruit Passionfruit Tangerine
Melon Cantaloupe Tayberry Jackfruit Cantaloupe Sapote Mandarine Lemon Gooseberry Pineapple
Avocado Tamarillo Blackcurrant Watermelon Prune Mandarine Raspberry Tayberry Papaya Lemon
Prune Honeydew Tamarillo Durian Lulo Tangelo Pomegranate Kiwifruit Araza Nance
Raspberry Akebi Prune Kiwano Durian Loganberry Lychee Kiwano Plum Sapodilla
Grapefruit Apple Mango Prune Blackberry Kiwano Cashew Grapefruit Tayberry Mandarine
Durian Bilberry Mulberry Clementine Sapote Lemon Bilberry Blackberry Raisin Plantain
BinaryNumber_1011010 BinaryNumber_0101001 BinaryNumber_0101010 BinaryNumber_0001100 BinaryNumber_0101100 BinaryNumber_1011110 BinaryNumber_1010111 BinaryNumber_0110001 BinaryNumber_1000111 BinaryNumber_0100110
BinaryNumber_1000111 BinaryNumber_0110100 BinaryNumber_1010010 BinaryNumber_0000001 BinaryNumber_0000000 BinaryNumber_1000001 BinaryNumber_0100101 BinaryNumber_1100011 BinaryNumber_1010101 BinaryNumber_0101011
BinaryNumber_1100000 BinaryNumber_0100001 BinaryNumber_1011101 BinaryNumber_0001010 BinaryNumber_0111110 BinaryNumber_0000110 BinaryNumber_1010010 BinaryNumber_0100000 BinaryNumber_0101000 BinaryNumber_0100011
BinaryNumber_1000101 BinaryNumber_0110001 BinaryNumber_0000111 BinaryNumber_0001000 BinaryNumber_0000100 BinaryNumber_0010101 BinaryNumber_1011000 BinaryNumber_0110101 BinaryNumber_1000011 BinaryNumber_0011001
BinaryNumber_0011011 BinaryNumber_1011000 BinaryNumber_0101111 BinaryNumber_1011000 BinaryNumber_1001110 BinaryNumber_0100110 BinaryNumber_0010100 BinaryNumber_0100100 BinaryNumber_0110111 BinaryNumber_1100011
BinaryNumber_1010100 BinaryNumber_0111111 BinaryNumber_0010111 BinaryNumber_0000101 BinaryNumber_1000001 BinaryNumber_1010111 BinaryNumber_0000000 BinaryNumber_0000010 BinaryNumber_1000111 BinaryNumber_0000101
BinaryNumber_0011001 BinaryNumber_0110011 BinaryNumber_0110110 BinaryNumber_0100101 BinaryNumber_0101000 BinaryNumber_0011000 BinaryNumber_0011111 BinaryNumber_0111011 BinaryNumber_1100001 BinaryNumber_0000100
BinaryNumber_1100000 BinaryNumber_0001100 BinaryNumber_0011101 BinaryNumber_0001011 BinaryNumber_1001001 BinaryNumber_0100101 BinaryNumber_1001110 BinaryNumber_0001111 BinaryNumber_0010100 BinaryNumber_0111111
BinaryNumber_0010101 BinaryNumber_0010111 BinaryNumber_0110000 BinaryNumber_0111110 BinaryNumber_0000111 BinaryNumber_1010011 BinaryNumber_0101010 BinaryNumber_0001011 BinaryNumber_0100000 BinaryNumber_0101011
