Green Gainsboro LightGoldenrod Sienna AntiqueWhite Plum MediumTurquoise DarkOrange MediumPurple LightCyan
Aquamarine LimeGreen Azure Cornsilk MediumTurquoise Silver LightGoldenrod DarkSlateBlue IndianRed LightSteelBlue
Goldenrod Firebrick LightGoldenrodYellow Tan Teal DeepPink Yellow MediumBlue DarkSlateBlue Firebrick
DarkGray PeachPuff Feldspar Lime MediumBlue DarkTurquoise DarkBlue VioletRed Gray Snow
Blue CornflowerBlue FloralWhite SeaGreen Violet LightCyan VioletRed FloralWhite LightSlateBlue LightPink
SandyBrown LightCoral LightSlateBlue Purple Aquamarine DarkViolet Lime MediumVioletRed Gray PaleTurquoise
Lime Aquamarine Wheat Indigo LightSlateGray Wheat Azure CadetBlue Beige Tomato
Moccasin OldLace Plum Lime DarkGoldenrod PaleTurquoise LightCoral Fuchsia GhostWhite DarkGoldenrod
Sienna LemonChiffon DarkFuchsia MediumPurple DarkFuchsia LightGray DarkTurquoise Violet MediumSpringGreen VioletRed
SaddleBrown OliveDrab MediumSpringGreen LightSlateBlue LightBlue Indigo MidnightBlue Linen OldLace Blue
OliveDrab Tan Brown SteelBlue SaddleBrown Yellow Ivory LightGoldenrodYellow MediumVioletRed PowderBlue
Ovaries Spleen Scrotum Ovaries Cecum Spinalnerves Pancreas Ossicles Tastebuds Ganglia
Ureter Vulva skeleton Ossicles Cerebrum Liver Analcanal Cecum Ligaments Cecum
Teeth Bronchi Tonsils Tendons Joints Cerebrum Spinalnerves Tongue Capillaries Penis
Trachea Cerebellum Retina Jejunum Ovaries Nerves Liver Mouth Nerves Ligaments
Clitoris Interstitium Placenta Liver Earlobe Heart Mouth Cerebellum Tendons Brain
Ileum Spinalnerves Largeintestine Interstitium Bone  Mesentery Earlobe Mesentery Interstitium Midbrain
Teeth Mesentery Retina Kidneys Capillaries Vagina Cecum Arteries Stomach Arteries
Nerves Kidneys Urethra Vagina Joints Ligaments Kidneys Pancreas Nerves Ossicles
Duodenum Penis Scrotum Eye Pons Clitoris skeleton Tongue Middleear Eardrum
Iris Tongue Cerebellum Spleen Vulva Capillaries Clitoris Cornea Smallintestine Brain
Cecum Thymus Lens Tongue Penis Joints Bladder Ovaries Capillaries Joints
temperature__52c temperature__77c temperature__70c temperature__136c temperature__98c temperature__31c temperature__34c temperature__12c temperature__41c temperature__31c
temperature__87c temperature__35c temperature__73c temperature__49c temperature__92c temperature__78c temperature__0c temperature__36c temperature__44c temperature__39c
temperature__144c temperature__50c temperature__11c temperature__88c temperature__118c temperature__0c temperature__138c temperature__24c temperature__3c temperature__91c
temperature__5c temperature__4c temperature__70c temperature__31c temperature__100c temperature__35c temperature__87c temperature__35c temperature__53c temperature__105c
temperature__92c temperature__10c temperature__118c temperature__138c temperature__71c temperature__82c temperature__145c temperature__70c temperature__84c temperature__64c
temperature__126c temperature__85c temperature__0c temperature__140c temperature__59c temperature__21c temperature__28c temperature__41c temperature__93c temperature__27c
temperature__85c temperature__24c temperature__122c temperature__105c temperature__109c temperature__77c temperature__54c temperature__7c temperature__2c temperature__34c
temperature__44c temperature__47c temperature__98c temperature__147c temperature__28c temperature__85c temperature__82c temperature__39c temperature__119c temperature__42c
temperature__74c temperature__0c temperature__74c temperature__6c temperature__4c temperature__120c temperature__35c temperature__21c temperature__23c temperature__142c
temperature__34c temperature__50c temperature__39c temperature__61c temperature__123c temperature__10c temperature__7c temperature__137c temperature__47c temperature__100c
temperature__26c temperature__136c temperature__92c temperature__0c temperature__34c temperature__28c temperature__52c temperature__140c temperature__84c temperature__116c
