Violet MediumSeaGreen MintCream Chartreuse PaleTurquoise Firebrick CadetBlue White MidnightBlue Goldenrod
MidnightBlue Orchid PapayaWhip MediumVioletRed Gray Brown PaleGreen Black LightPink Beige
MidnightBlue Feldspar BlanchedAlmond Peru OldLace SpringGreen MediumSeaGreen LightCyan LightSteelBlue Teal
DarkGoldenrod Aquamarine CornflowerBlue DarkFuchsia LightGoldenrod LawnGreen Moccasin Seashell Peru BlueViolet
Salmon DarkGoldenrod SlateGray MidnightBlue Tan DarkGoldenrod Crimson DarkFuchsia BlanchedAlmond SteelBlue
CornflowerBlue Azure PaleGreen Salmon Goldenrod Peru Bisque LightSkyBlue Burlywood Coral
Lime DarkSlateBlue PapayaWhip VioletRed MidnightBlue Olive OliveDrab Orchid DarkOrange OliveDrab
DarkBlue Gold SlateGray MediumTurquoise DarkRed LightGoldenrodYellow Aquamarine Orange DarkFuchsia MistyRose
Linen Lime Snow LightSkyBlue MediumPurple RosyBrown Navy DarkGoldenrod CornflowerBlue BlueViolet
DarkSeaGreen LightSalmon MediumSlateBlue Silver Fuchsia DarkTurquoise OrangeRed DarkViolet Indigo Feldspar
MediumSeaGreen Feldspar Burlywood BlueViolet LightSteelBlue SteelBlue Azure LavenderBlush ForestGreen Violet
alert confused bloody arrogant frantic poised wrong wild shy thoughtless
dangerous cruel sleepy gorgeous panicky clumsy lucky rich mysterious vast
impossible gentle precious ill condemned light annoyed zany poor careful
clean witty brainy tough frail grumpy elegant frantic nervous energetic
fragile sparkling courageous fancy powerful cruel vivacious shy thankful better
puzzled thoughtful charming witty enthusiastic funny poor relieved ashamed ashamed
itchy mushy tough comfortable depressed kind zealous witty clear tasty
cloudy poor gifted pleasant outstanding anxious alert frightened silly repulsive
excited depressed expensive troubled distinct confused successful zany shiny puzzled
itchy shiny tough careful jealous average talented creepy lazy filthy
clear vivacious sparkling bloody famous cute old-fashioned encouraging adventurous bewildered
Penis Trachea Liver Trachea Pharynx Mesentery Pharynx Duodenum Largeintestine Veins
Rectum Spinalnerves Jejunum Joints Sensoryorgans Bladder Spinalnerves Stomach Thalamus Hypothalamus
Ligaments Pons Esophagus Fallopiantubes Interstitium Brain Cecum Joints Ureter Smallintestine
Ileum Retina Cerebellum Iris Iris Pons Veins Stomach Ear Largeintestine
