Lime Goldenrod PapayaWhip LightCoral MediumSeaGreen DarkTurquoise LavenderBlush DeepSkyBlue Salmon MediumVioletRed
Bisque Feldspar Silver MediumSlateBlue Orchid MediumPurple DeepPink DarkOrchid DarkSlateGray NavajoWhite
Firebrick DarkSeaGreen LavenderBlush DarkCyan LightSlateBlue Firebrick PeachPuff LightBlue PaleGoldenrod DarkKhaki
LightPink MediumSeaGreen Linen LightSkyBlue Ivory GhostWhite Yellow DarkSlateBlue Ivory DodgerBlue
MediumPurple Brown LightSlateGray Chocolate DarkKhaki DarkFuchsia LightSteelBlue Honeydew MediumSpringGreen LightSalmon
DarkGreen Beige MediumBlue SaddleBrown LightGray Orange Orchid Brown DarkBlue PaleTurquoise
Seashell LightPink LimeGreen GreenYellow Teal Fuchsia Gold VioletRed MediumSlateBlue SpringGreen
AntiqueWhite Thistle Khaki DarkGray Lavender SkyBlue PaleGreen Cornsilk MediumSlateBlue Yellow
MediumSeaGreen LightCoral Red Maroon Silver GhostWhite DarkOrange LightCyan Gold DarkSeaGreen
SaddleBrown Olive AntiqueWhite DarkFuchsia Violet RosyBrown LightBlue MediumSpringGreen DarkViolet MediumBlue
OldLace Plum MediumSlateBlue PaleVioletRed Maroon ForestGreen Orchid Silver SlateGray Green
temperature__42c temperature__10c temperature__140c temperature__136c temperature__136c temperature__69c temperature__146c temperature__88c temperature__17c temperature__8c
temperature__74c temperature__90c temperature__111c temperature__82c temperature__57c temperature__27c temperature__141c temperature__50c temperature__56c temperature__35c
temperature__42c temperature__46c temperature__2c temperature__33c temperature__87c temperature__147c temperature__24c temperature__138c temperature__100c temperature__142c
temperature__118c temperature__44c temperature__36c temperature__74c temperature__65c temperature__147c temperature__129c temperature__33c temperature__27c temperature__93c
temperature__68c temperature__2c temperature__51c temperature__129c temperature__69c temperature__56c temperature__82c temperature__68c temperature__23c temperature__65c
temperature__86c temperature__130c temperature__57c temperature__77c temperature__63c temperature__130c temperature__79c temperature__21c temperature__34c temperature__3c
temperature__30c temperature__3c temperature__53c temperature__0c temperature__50c temperature__50c temperature__26c temperature__148c temperature__12c temperature__92c
temperature__68c temperature__8c temperature__30c temperature__70c temperature__78c temperature__91c temperature__64c temperature__140c temperature__90c temperature__118c
temperature__124c temperature__74c temperature__106c temperature__53c temperature__34c temperature__90c temperature__98c temperature__82c temperature__70c temperature__106c
temperature__92c temperature__73c temperature__148c temperature__112c temperature__35c temperature__65c temperature__87c temperature__34c temperature__28c temperature__6c
temperature__109c temperature__16c temperature__47c temperature__130c temperature__91c temperature__34c temperature__11c temperature__57c temperature__116c temperature__91c
Currant Pomegranate Kiwano Acerola Acerola Honeydew Soursop Jostaberry Kiwano Pineapple
Yuzu Ackee Peach Apple Persimmon Banana Akebi Nance Tayberry Lemon
Blackcurrant Feijoa Strawberry Blueberry Cashew Cantaloupe Soursop Redcurrant Clementine Watermelon
Tangelo Coconut Plum Apple Papaya Sapodilla Coconut Pawpaw Elderberry Damson
Plum Tangelo Avocado Plum Melon Araza Huckleberry Grapefruit Redcurrant Tayberry
Melon Fig Clementine Tamarind Cantaloupe Cherry Kiwano Tamarillo Cashew Kiwifruit
Sapote Lulo Soursop Nectarine Blackberry Cherry Tayberry Satsuma Sapote Grape
Salak Blueberry Honeyberry Banana Blueberry Tangerine Mango Date Lychee Date
Apple Jambul Plumcot Plantain Sapote Jujube Grape Passionfruit Grapefruit Tangelo
