Khaki Silver NavajoWhite Linen HotPink MediumPurple Beige LightYellow SpringGreen WhiteSmoke
LightGoldenrod LightGoldenrodYellow MediumOrchid MediumVioletRed MediumVioletRed DimGray LightSkyBlue MediumPurple Cornsilk LightCyan
MediumVioletRed Azure LightSkyBlue SlateGray LightBlue Plum LimeGreen Honeydew LightCoral LightYellow
Green DimGray AliceBlue Honeydew Tan OldLace NavajoWhite MidnightBlue DarkSeaGreen Black
Tan DarkOliveGreen Gold Crimson Brown Gold LavenderBlush SkyBlue Linen MediumBlue
PaleGoldenrod LightSeaGreen Feldspar Moccasin LightGreen LightYellow DarkOrange GhostWhite CadetBlue SpringGreen
MediumTurquoise LightYellow Orange Silver SeaGreen Moccasin PaleVioletRed Cornsilk DodgerBlue Fuchsia
DarkSlateBlue LightCyan Firebrick DimGray MidnightBlue DarkGoldenrod AliceBlue Feldspar Chartreuse LavenderBlush
LightCyan LightGoldenrodYellow Red DarkViolet DarkOliveGreen DarkGreen DarkOrange VioletRed MediumVioletRed Brown
LightSkyBlue Khaki Turquoise Lime Olive DarkOliveGreen DarkSlateBlue LavenderBlush Pink SlateGray
LightCoral Yellow MediumPurple Beige LightGray MediumSpringGreen SlateBlue Gainsboro MediumTurquoise DarkRed
BinaryNumber_0111100 BinaryNumber_0011001 BinaryNumber_0000110 BinaryNumber_0110001 BinaryNumber_1000110 BinaryNumber_1000011 BinaryNumber_0010101 BinaryNumber_1001000 BinaryNumber_1100011 BinaryNumber_0110110
BinaryNumber_0100111 BinaryNumber_0101001 BinaryNumber_1100010 BinaryNumber_0010010 BinaryNumber_0100101 BinaryNumber_0001011 BinaryNumber_0000101 BinaryNumber_0010010 BinaryNumber_0110111 BinaryNumber_0111010
BinaryNumber_0001001 BinaryNumber_0000111 BinaryNumber_0110110 BinaryNumber_0100111 BinaryNumber_1011011 BinaryNumber_1011100 BinaryNumber_0110111 BinaryNumber_0111111 BinaryNumber_0101101 BinaryNumber_1010001
BinaryNumber_1001111 BinaryNumber_1011111 BinaryNumber_0011101 BinaryNumber_0000101 BinaryNumber_0011000 BinaryNumber_1010010 BinaryNumber_0011000 BinaryNumber_0000000 BinaryNumber_0011011 BinaryNumber_0110111
BinaryNumber_0000101 BinaryNumber_0100001 BinaryNumber_0001110 BinaryNumber_0001101 BinaryNumber_1001010 BinaryNumber_0000110 BinaryNumber_1010000 BinaryNumber_0010100 BinaryNumber_1001100 BinaryNumber_0101101
