Watermelon Salak Lime Cherimoya Coconut Canistel Cherry Abiu Passionfruit Tamarind
Ackee Grapefruit Cashew Salmonberry Clementine Soursop Plumcot Lemon Pomelo Cempedak
Açaí Kiwano Passionfruit Lulo Feijoa Mango Blueberry Ackee Cantaloupe Tayberry
Soursop Sapote Satsuma Araza Peach Mandarine Peach Salak Cherimoya Date
Soursop Orange Jujube Kiwano Persimmon Pear Grape Bilberry Mango Kiwifruit
Araza Pineapple Yuzu Fig Orange Date Kiwano Lime Ximenia Mangosteen
Açaí Marionberry Passionfruit Avocado Jostaberry Loquat Raspberry Satsuma Lulo Apricot
Damson Clementine Papaya Mango Guava Watermelon Avocado Akebi Mangosteen Pineapple
Clementine Quince Pineberry Clementine Bilberry Nance Apple Fig Pomegranate Peach
Strawberry Quince Canistel Acerola Tamarind Mandarine Cantaloupe Plumcot Nectarine Ximenia
Apricot Tangelo Pomegranate Jackfruit Blackcurrant Honeydew Mango Raisin Boysenberry Durian
BinaryNumber_1001001 BinaryNumber_0100001 BinaryNumber_1011000 BinaryNumber_1000110 BinaryNumber_0000111 BinaryNumber_0011101 BinaryNumber_1010011 BinaryNumber_0111000 BinaryNumber_0000000 BinaryNumber_0000010
BinaryNumber_0101010 BinaryNumber_0011010 BinaryNumber_1011011 BinaryNumber_1010101 BinaryNumber_0001100 BinaryNumber_1001011 BinaryNumber_0101111 BinaryNumber_1001000 BinaryNumber_0011011 BinaryNumber_0100101
BinaryNumber_0010110 BinaryNumber_0000100 BinaryNumber_0100101 BinaryNumber_1000100 BinaryNumber_1011001 BinaryNumber_1011101 BinaryNumber_0111101 BinaryNumber_1011010 BinaryNumber_0111110 BinaryNumber_1100010
BinaryNumber_1011101 BinaryNumber_0110001 BinaryNumber_0011101 BinaryNumber_0101110 BinaryNumber_0000101 BinaryNumber_1100001 BinaryNumber_0001111 BinaryNumber_0110010 BinaryNumber_1010000 BinaryNumber_0111110
