dull mushy enthusiastic homely angry bloody graceful odd motionless elegant
lazy charming ugly stormy clever ashamed strange sparkling blue modern
expensive ill clean zealous fair bright tired frightened enchanting bright
innocent grieving brave repulsive difficult tough attractive hilarious unsightly vivacious
thoughtless charming unsightly enthusiastic black cooperative foolish proud cruel impossible
anxious impossible calm putrid drab smoggy poor charming doubtful grotesque
precious jittery black charming open fine unsightly clean nervous energetic
combative troubled dull fragile magnificent poor kind dull sparkling handsome
concerned repulsive splendid helpful brainy thankful frail panicky graceful glorious
blue handsome envious light dangerous victorious magnificent misty inexpensive splendid
real fair strange bewildered fine defeated sore inexpensive cruel sparkling
Tomato Wheat Ivory Blue LightGoldenrodYellow Gray BlanchedAlmond HotPink Linen Honeydew
DeepSkyBlue LightBlue Lavender OrangeRed DarkGoldenrod LightGreen LightGoldenrod LightSteelBlue DarkSalmon PeachPuff
MediumSpringGreen Ivory MediumAquamarine WhiteSmoke LemonChiffon PaleGreen LightGray PaleGoldenrod Azure Gray
SpringGreen Chartreuse BlueViolet Ivory Feldspar Navy Lime Thistle Tan CornflowerBlue
DodgerBlue DarkBlue SaddleBrown DimGray DarkOliveGreen MistyRose PeachPuff FloralWhite LightBlue Gray
Burlywood CornflowerBlue MediumSlateBlue Plum MediumOrchid Linen Indigo Ivory DeepPink LightSlateGray
LightSalmon PowderBlue MediumSpringGreen Red LawnGreen Turquoise LightSlateBlue LightGoldenrod Tomato Indigo
SteelBlue LightSteelBlue Orange PaleVioletRed Orchid MediumTurquoise MediumTurquoise Green SpringGreen Fuchsia
MintCream Pink LawnGreen LemonChiffon Tomato MediumTurquoise Silver BlanchedAlmond Feldspar NavajoWhite
Pink BlueViolet BlanchedAlmond RoyalBlue MediumSeaGreen Linen DarkGoldenrod LightSteelBlue White Chocolate
LightSalmon NavajoWhite Lime PowderBlue Violet DarkFuchsia Seashell Chocolate Salmon WhiteSmoke
Bladder Lungs Bladder Retina Earlobe Veins Eye Urethra Ciliarybody Urethra
Uterus Tongue Earlobe Innerear Teeth Retina Kidneys Tongue Bone  Analcanal
Capillaries Nerves Cochlea Earlobe Kidneys Arteries Vagina Lungs Vulva Thymus
Tongue Outerear Tendons skeleton Pharynx Pharynx Pons Kidneys Ileum Cecum
Hypothalamus Pharynx Ear Thymus Ileum Eye Cerebrum Scrotum Urethra Eardrum
Muscle Cranialnerves Brain Earlobe Bronchi Bone  Veins Tongue Teeth Earlobe
