DarkGray Indigo DarkSlateGray Firebrick LightGoldenrod Wheat RoyalBlue Linen Turquoise LightCyan
DarkSeaGreen Orchid PowderBlue White NavajoWhite MediumSlateBlue HotPink HotPink RoyalBlue MediumPurple
DarkOrchid Lime Bisque LavenderBlush SaddleBrown FloralWhite DarkRed LightCoral LightGreen GreenYellow
PapayaWhip Moccasin DarkCyan SpringGreen Thistle DarkGray Ivory AliceBlue Orange Cornsilk
Honeydew GreenYellow PapayaWhip Lavender BlanchedAlmond LightSlateBlue Azure MediumPurple Olive Chartreuse
Plum LightSteelBlue Maroon SeaGreen Azure Lime SaddleBrown DarkCyan DarkOrange DarkSalmon
Salmon MidnightBlue MediumTurquoise Tan DeepPink LightSeaGreen NavajoWhite DarkCyan BlueViolet SpringGreen
WhiteSmoke LemonChiffon LimeGreen PowderBlue BlueViolet DarkKhaki Honeydew Bisque Fuchsia Maroon
CornflowerBlue Lavender DarkViolet MediumVioletRed Cyan DimGray ForestGreen VioletRed LightSeaGreen Plum
Pink MediumSpringGreen DarkOrchid Chocolate LightCoral Aquamarine Aquamarine DarkOrange Wheat Beige
WhiteSmoke Plum LightPink SeaGreen Azure Thistle Brown SteelBlue Green MediumVioletRed
CubeNumber_205379 CubeNumber_1331 CubeNumber_493039 CubeNumber_12167 CubeNumber_68921 CubeNumber_1331 CubeNumber_125 CubeNumber_704969 CubeNumber_6859 CubeNumber_357911
CubeNumber_941192 CubeNumber_15625 CubeNumber_125 CubeNumber_32768 CubeNumber_941192 CubeNumber_5832 CubeNumber_39304 CubeNumber_343 CubeNumber_941192 CubeNumber_27000
CubeNumber_54872 CubeNumber_216000 CubeNumber_571787 CubeNumber_941192 CubeNumber_79507 CubeNumber_274625 CubeNumber_262144 CubeNumber_405224 CubeNumber_1331 CubeNumber_12167
CubeNumber_512000 CubeNumber_68921 CubeNumber_729000 CubeNumber_636056 CubeNumber_857375 CubeNumber_343000 CubeNumber_1331 CubeNumber_729000 CubeNumber_110592 CubeNumber_614125
CubeNumber_195112 CubeNumber_39304 CubeNumber_46656 CubeNumber_103823 CubeNumber_132651 CubeNumber_42875 CubeNumber_474552 CubeNumber_238328 CubeNumber_512 CubeNumber_64
CubeNumber_357911 CubeNumber_884736 CubeNumber_753571 CubeNumber_103823 CubeNumber_512000 CubeNumber_68921 CubeNumber_300763 CubeNumber_357911 CubeNumber_328509 CubeNumber_438976
CubeNumber_64000 CubeNumber_8000 CubeNumber_35937 CubeNumber_8000 CubeNumber_97336 CubeNumber_250047 CubeNumber_175616 CubeNumber_729 CubeNumber_64000 CubeNumber_103823
CubeNumber_343 CubeNumber_389017 CubeNumber_91125 CubeNumber_658503 CubeNumber_729000 CubeNumber_830584 CubeNumber_551368 CubeNumber_195112 CubeNumber_857375 CubeNumber_91125
CubeNumber_39304 CubeNumber_357911 CubeNumber_328509 CubeNumber_729 CubeNumber_205379 CubeNumber_274625 CubeNumber_8000 CubeNumber_148877 CubeNumber_274625 CubeNumber_24389
