DarkCyan MediumVioletRed DarkViolet DarkOrange Beige Tan OldLace SaddleBrown BlueViolet PaleTurquoise
DarkFuchsia DarkTurquoise DarkGoldenrod Fuchsia LightBlue DarkCyan SeaGreen LightSteelBlue SkyBlue GhostWhite
LightGoldenrod OldLace LightSteelBlue MidnightBlue LightCoral LightYellow SlateGray SlateBlue RoyalBlue LightSlateGray
Turquoise White Lavender LightPink SaddleBrown LightCoral DeepSkyBlue PaleGoldenrod Salmon Turquoise
SteelBlue LightGreen SkyBlue Crimson Brown White Fuchsia SkyBlue Bisque MediumAquamarine
LightCyan Beige DarkGreen FloralWhite Yellow MediumVioletRed DeepSkyBlue Red SeaGreen SpringGreen
MediumOrchid LightCyan PaleTurquoise FloralWhite Coral CadetBlue Green Firebrick HotPink Feldspar
Purple SteelBlue Black LightYellow LightGray Plum Silver DarkSlateGray SkyBlue Red
LightGoldenrod Crimson Goldenrod Tan MediumOrchid DarkSeaGreen Navy LightSalmon DarkGoldenrod LavenderBlush
MediumSlateBlue DarkCyan DarkOrchid MediumVioletRed PaleVioletRed SpringGreen NavajoWhite Tomato Peru SandyBrown
Chartreuse DarkCyan LightPink LightSlateBlue Gray Navy DarkCyan LightSeaGreen AliceBlue LightSteelBlue
BinaryNumber_0011111 BinaryNumber_1000010 BinaryNumber_0010010 BinaryNumber_0011011 BinaryNumber_0011101 BinaryNumber_0101100 BinaryNumber_1001111 BinaryNumber_0111000 BinaryNumber_0010010 BinaryNumber_0011010
BinaryNumber_0101011 BinaryNumber_0101100 BinaryNumber_1000011 BinaryNumber_1010000 BinaryNumber_0010100 BinaryNumber_1010000 BinaryNumber_0000010 BinaryNumber_0000000 BinaryNumber_0001010 BinaryNumber_0001101
BinaryNumber_1000100 BinaryNumber_0101010 BinaryNumber_1011000 BinaryNumber_1100010 BinaryNumber_1010101 BinaryNumber_1010101 BinaryNumber_1010010 BinaryNumber_0010010 BinaryNumber_1001110 BinaryNumber_0100110
BinaryNumber_1001101 BinaryNumber_0101010 BinaryNumber_0100000 BinaryNumber_1010101 BinaryNumber_0111011 BinaryNumber_1010011 BinaryNumber_1001010 BinaryNumber_1000110 BinaryNumber_1000001 BinaryNumber_1001101
