Thistle LightSlateBlue SlateGray MidnightBlue Khaki Moccasin Linen Goldenrod Feldspar PaleGoldenrod
Feldspar WhiteSmoke LemonChiffon DarkSlateGray FloralWhite Bisque SandyBrown PaleTurquoise DarkTurquoise DarkFuchsia
LightSteelBlue LightGreen Thistle Cyan Sienna CadetBlue Cornsilk OliveDrab Tomato Navy
Firebrick Sienna DeepPink LimeGreen Blue PaleGreen Tomato DodgerBlue Silver Brown
Burlywood DarkSlateBlue DeepSkyBlue Tomato Black RoyalBlue MediumOrchid LightYellow RoyalBlue Beige
DodgerBlue PeachPuff LightGoldenrodYellow MediumVioletRed Moccasin Gainsboro DarkViolet LightYellow VioletRed SkyBlue
Blue DarkSlateBlue AntiqueWhite Cornsilk Azure LavenderBlush Red Snow Purple CornflowerBlue
DarkOrange PaleGoldenrod Cornsilk MediumTurquoise LightGray DarkFuchsia LightCyan Seashell LawnGreen Cyan
LightCoral Coral SeaGreen Feldspar DeepSkyBlue LemonChiffon LimeGreen Salmon Aquamarine DarkOrange
MediumAquamarine Goldenrod Cyan MediumTurquoise DarkBlue MistyRose LightGreen GreenYellow DeepPink Blue
PaleGreen Purple LightYellow GreenYellow DarkGray LightSlateGray Violet Azure DarkKhaki WhiteSmoke
Outerear Tastebuds Thalamus Rectum Pharynx Veins Rectum Middleear Joints Cerebrum
Cochlea Lens Cornea Rectum Spleen Scrotum Mesentery Innerear Middleear Thymus
Interstitium Capillaries Outerear Ureter Tendons Arteries Cerebellum Cranialnerves Pharynx Cochlea
Scrotum Ear Stomach Thalamus skeleton Cecum Thalamus Eye Pons Capillaries
Tongue Pharynx Ear Urethra Cerebrum Ligaments Trachea Analcanal Retina Interstitium
Eardrum Trachea Vulva Cornea Capillaries Uterus Ciliarybody Sensoryorgans Brain Mouth
Lips Outerear Pharynx Mesentery Ganglia Largeintestine Thalamus Heart Trachea Pancreas
Lymphaticvessel skeleton Pharynx Ganglia Joints Lens Gallbladder Bronchi Lungs Bone 
Arteries Iris Penis Spleen Capillaries Larynx Muscle Interstitium Larynx Clitoris
Placenta Cerebellum Clitoris Pharynx Pharynx Ossicles Ovaries Outerear Nerves Kidneys
Mesentery Pancreas Eardrum Nerves Retina Eardrum Urethra Spinalnerves Pharynx Teeth
15:59 13:12 11:36 16:29 18:11 23:54 22:41 11:11 13:55 23:15
21:15 13:51 20:26 13:28 17:45 14:38 14:18 19:57 14:47 14:40
14:46 16:27 15:11 11:27 12:18 13:12 13:42 17:15 20:49 13:22
16:35 23:34 17:27 14:34 16:13 23:49 13:14 23:28 10:24 17:53
14:38 13:18 13:24 18:50 19:53 22:58 20:15 11:51 20:51 21:30
