LavenderBlush MediumAquamarine Firebrick DarkCyan Chocolate LightGreen RoyalBlue Silver MediumVioletRed AntiqueWhite
SandyBrown MediumTurquoise MediumSeaGreen LightGray BlueViolet Yellow RosyBrown LightSlateBlue MediumOrchid DarkBlue
SkyBlue Coral AliceBlue Tan WhiteSmoke Peru LightSalmon ForestGreen DarkViolet Red
ForestGreen SkyBlue Maroon DarkOliveGreen MediumVioletRed MediumSpringGreen Gray Fuchsia PaleGreen MediumVioletRed
LightSlateGray LightSteelBlue Violet Indigo DarkGray Chartreuse AliceBlue LightSlateGray LightBlue Feldspar
DeepPink Honeydew Purple LightGray Chartreuse DeepSkyBlue Teal OrangeRed Snow MediumVioletRed
Olive DarkViolet LightPink LightGray DarkSlateGray DarkCyan Purple DarkViolet SlateGray SkyBlue
Tan Lime DarkOrchid LimeGreen DimGray Burlywood DarkBlue PeachPuff SkyBlue Violet
LightPink Gray VioletRed WhiteSmoke RosyBrown PowderBlue Olive LightSlateGray Salmon MediumTurquoise
Cornsilk SlateGray Pink Tan Wheat Cyan DeepSkyBlue MistyRose DeepSkyBlue Olive
SaddleBrown PaleVioletRed DarkCyan Beige Peru DarkTurquoise DarkOliveGreen Salmon DarkGoldenrod Navy
BinaryNumber_1000000 BinaryNumber_1001010 BinaryNumber_0000110 BinaryNumber_0011100 BinaryNumber_1000100 BinaryNumber_1010011 BinaryNumber_0000001 BinaryNumber_1011011 BinaryNumber_1001011 BinaryNumber_1010100
BinaryNumber_0001000 BinaryNumber_1010000 BinaryNumber_0100110 BinaryNumber_1011001 BinaryNumber_0011001 BinaryNumber_0010111 BinaryNumber_0011010 BinaryNumber_0010111 BinaryNumber_0111001 BinaryNumber_0000101
BinaryNumber_1011001 BinaryNumber_0001000 BinaryNumber_1010111 BinaryNumber_1100010 BinaryNumber_0001001 BinaryNumber_0001100 BinaryNumber_0011000 BinaryNumber_0100000 BinaryNumber_0001011 BinaryNumber_0001110
BinaryNumber_1000101 BinaryNumber_1011010 BinaryNumber_0000100 BinaryNumber_0011101 BinaryNumber_0000100 BinaryNumber_1100000 BinaryNumber_1100010 BinaryNumber_0100111 BinaryNumber_0010000 BinaryNumber_1010010
BinaryNumber_1000110 BinaryNumber_0001111 BinaryNumber_1100000 BinaryNumber_0100100 BinaryNumber_1001101 BinaryNumber_1001110 BinaryNumber_0001101 BinaryNumber_1000010 BinaryNumber_0100001 BinaryNumber_1001101
BinaryNumber_1011111 BinaryNumber_0101011 BinaryNumber_1100001 BinaryNumber_0010100 BinaryNumber_0011101 BinaryNumber_1010010 BinaryNumber_0111011 BinaryNumber_0110110 BinaryNumber_0100000 BinaryNumber_0010010
BinaryNumber_0010001 BinaryNumber_1001111 BinaryNumber_1010011 BinaryNumber_0010010 BinaryNumber_0000110 BinaryNumber_0001010 BinaryNumber_0011000 BinaryNumber_1010010 BinaryNumber_0111111 BinaryNumber_0010101
BinaryNumber_0100100 BinaryNumber_1001101 BinaryNumber_1011110 BinaryNumber_0011010 BinaryNumber_0100011 BinaryNumber_1011000 BinaryNumber_1011101 BinaryNumber_1001111 BinaryNumber_0100110 BinaryNumber_0111001
