MediumSlateBlue Maroon GhostWhite Indigo SaddleBrown Ivory OldLace Yellow DarkKhaki Salmon
LightGoldenrodYellow Orchid Beige Turquoise Ivory SlateBlue OrangeRed LightSlateBlue DeepSkyBlue PaleVioletRed
Red MediumBlue CornflowerBlue MediumSpringGreen OliveDrab SteelBlue Honeydew IndianRed Honeydew LavenderBlush
DeepSkyBlue DarkTurquoise Salmon Cyan Indigo Thistle SeaGreen AntiqueWhite PeachPuff Tan
SaddleBrown Teal Tan Salmon Azure DarkOrange BlueViolet VioletRed LightCyan Olive
LimeGreen SeaGreen DodgerBlue Aquamarine MediumBlue BlanchedAlmond Bisque SaddleBrown LightGray Turquoise
SpringGreen PapayaWhip Peru SlateBlue Khaki Aquamarine Maroon MediumSlateBlue SkyBlue Yellow
LightSlateGray Plum Tomato LightBlue BlanchedAlmond DarkGreen DeepPink Gainsboro AntiqueWhite IndianRed
DarkBlue DodgerBlue SteelBlue MintCream PaleGreen Gray MediumAquamarine PeachPuff DarkOrchid ForestGreen
Burlywood DarkGray DeepPink LightPink DeepPink LawnGreen GhostWhite DarkBlue Crimson LightSkyBlue
Fuchsia DarkSeaGreen MediumTurquoise LightSlateGray LimeGreen Thistle Crimson Silver NavajoWhite SkyBlue
CubeNumber_551368 CubeNumber_912673 CubeNumber_373248 CubeNumber_912673 CubeNumber_29791 CubeNumber_357911 CubeNumber_64 CubeNumber_8 CubeNumber_389017 CubeNumber_110592
CubeNumber_592704 CubeNumber_2744 CubeNumber_103823 CubeNumber_941192 CubeNumber_1331 CubeNumber_804357 CubeNumber_729000 CubeNumber_42875 CubeNumber_64000 CubeNumber_941192
CubeNumber_19683 CubeNumber_456533 CubeNumber_64 CubeNumber_405224 CubeNumber_884736 CubeNumber_8000 CubeNumber_91125 CubeNumber_185193 CubeNumber_328509 CubeNumber_474552
CubeNumber_85184 CubeNumber_704969 CubeNumber_343000 CubeNumber_474552 CubeNumber_343 CubeNumber_421875 CubeNumber_287496 CubeNumber_373248 CubeNumber_85184 CubeNumber_884736
CubeNumber_6859 CubeNumber_19683 CubeNumber_8 CubeNumber_64 CubeNumber_3375 CubeNumber_6859 CubeNumber_125000 CubeNumber_857375 CubeNumber_24389 CubeNumber_17576
CubeNumber_373248 CubeNumber_195112 CubeNumber_15625 CubeNumber_64000 CubeNumber_97336 CubeNumber_166375 CubeNumber_140608 CubeNumber_79507 CubeNumber_512 CubeNumber_226981
CubeNumber_110592 CubeNumber_157464 CubeNumber_50653 CubeNumber_857375 CubeNumber_13824 CubeNumber_512 CubeNumber_27 CubeNumber_12167 CubeNumber_884736 CubeNumber_85184
