Lime LightPink Green Tan LightGoldenrod ForestGreen DarkOrange Olive CadetBlue MintCream
Cornsilk DarkFuchsia MediumSlateBlue Gainsboro PaleVioletRed MediumBlue DarkRed LightBlue Beige DarkRed
LightSlateGray DarkKhaki LimeGreen LimeGreen Peru PaleGreen Bisque MediumVioletRed Beige Olive
DodgerBlue MidnightBlue DarkSalmon MistyRose Cyan MistyRose ForestGreen LightSlateBlue Khaki DarkViolet
MediumSeaGreen Plum MistyRose Plum MediumSlateBlue PaleGoldenrod DarkGoldenrod SaddleBrown DarkSlateBlue Violet
Honeydew LightBlue LightGreen Chartreuse Azure LightCyan Plum Goldenrod Brown SeaGreen
OliveDrab OldLace PaleVioletRed DeepSkyBlue LightGoldenrodYellow MediumSpringGreen PeachPuff VioletRed Sienna MediumSpringGreen
DarkSlateBlue LightGray DarkSeaGreen Silver DarkOliveGreen SlateGray LawnGreen DarkSlateGray Lime DarkCyan
White Olive Coral SpringGreen Aquamarine Thistle PaleTurquoise LightSalmon DarkFuchsia Ivory
LightCoral SteelBlue DodgerBlue PaleGoldenrod Aquamarine White LightCoral MediumSeaGreen MediumSlateBlue LightCyan
PeachPuff Teal PaleGreen Seashell DarkSeaGreen Honeydew MediumVioletRed LemonChiffon SlateBlue MidnightBlue
BinaryNumber_1011000 BinaryNumber_0011001 BinaryNumber_1011010 BinaryNumber_0011011 BinaryNumber_0100011 BinaryNumber_1001011 BinaryNumber_0110111 BinaryNumber_0110001 BinaryNumber_1001000 BinaryNumber_1001110
BinaryNumber_1001101 BinaryNumber_1001001 BinaryNumber_0111000 BinaryNumber_0000111 BinaryNumber_0110100 BinaryNumber_1011100 BinaryNumber_0110000 BinaryNumber_0110101 BinaryNumber_1011000 BinaryNumber_0010101
BinaryNumber_0010101 BinaryNumber_0010001 BinaryNumber_0001000 BinaryNumber_1000100 BinaryNumber_1000011 BinaryNumber_0001010 BinaryNumber_0110110 BinaryNumber_1011000 BinaryNumber_1100010 BinaryNumber_1011000
