ashamed frightened terrible hurt dull concerned upset horrible dangerous nasty
blue perfect better ashamed depressed long worried enthusiastic ashamed tasty
grumpy cheerful talented depressed naughty colorful crazy ugly clear anxious
nasty misty angry glamorous fantastic clever tasty energetic perfect wild
calm unusual splendid cloudy cheerful proud hungry eager stupid comfortable
odd expensive talented terrible wild embarrassed inquisitive important shiny enchanting
spotless real bloody witty different light misty energetic lonely innocent
clear ugly grieving concerned poised brainy famous pleasant outrageous courageous
bored witty important alert confused successful breakable easy thoughtful uptight
odd clumsy hungry fair jolly average inquisitive light tame graceful
odd zealous smoggy famous awful outrageous calm frail confused puzzled
incident scandalous reputation deflect influence blame saga tainted subterfuge engagement
denigrate coercion persecution malfeasance mercurial fiasco covert expose integrity endorsement
privilege chicanery beleaguer deflect malfeasance beleaguer proxy claim persecution tycoon
malfeasance cadre partial sloth plagiarism accusation intimidation unsavory engagement covert
saga deficit endorsement deficit retaliation career feud endorsement allegation collaboration
bribe fiasco unethical deflect integrity tycoon beleaguer rebut beleaguer integrity
subterfuge mercurial bribe expose expose proxy partial blame reckless saga
accusation feud retaliation patriarchy coterie solicit privilege obscure mercurial tycoon
reckless acolyte beleaguer dictatorship parry illicit embezzlement prestidigitation corruption extortion
authoritarian dictatorship benefit opportunist massive sloth fray malfeasance assail denigrate
empire impunity proxy sloth deny embezzlement alliance feud corruption denigrate
BinaryNumber_1000010 BinaryNumber_0110100 BinaryNumber_0101001 BinaryNumber_1000101 BinaryNumber_0001011 BinaryNumber_1010111 BinaryNumber_0100111 BinaryNumber_0011011 BinaryNumber_1010110 BinaryNumber_0101101
BinaryNumber_0000110 BinaryNumber_1010000 BinaryNumber_1011100 BinaryNumber_0000010 BinaryNumber_0011110 BinaryNumber_0000000 BinaryNumber_1011110 BinaryNumber_1011000 BinaryNumber_0100111 BinaryNumber_1010111
BinaryNumber_0111101 BinaryNumber_0111001 BinaryNumber_0010110 BinaryNumber_1000001 BinaryNumber_0101000 BinaryNumber_0101111 BinaryNumber_0111110 BinaryNumber_0000110 BinaryNumber_1000110 BinaryNumber_0100111
BinaryNumber_0000101 BinaryNumber_0001000 BinaryNumber_1011011 BinaryNumber_1100011 BinaryNumber_0011110 BinaryNumber_1011110 BinaryNumber_0011111 BinaryNumber_0111100 BinaryNumber_0001111 BinaryNumber_0001111
BinaryNumber_0101100 BinaryNumber_0010011 BinaryNumber_1010010 BinaryNumber_0000100 BinaryNumber_0010010 BinaryNumber_1001011 BinaryNumber_0000110 BinaryNumber_0100111 BinaryNumber_1100001 BinaryNumber_1010011
BinaryNumber_0101011 BinaryNumber_0010001 BinaryNumber_0111111 BinaryNumber_0101000 BinaryNumber_0100101 BinaryNumber_0010000 BinaryNumber_1011001 BinaryNumber_1001011 BinaryNumber_1011001 BinaryNumber_1011100
BinaryNumber_0100111 BinaryNumber_0011000 BinaryNumber_1001100 BinaryNumber_0011010 BinaryNumber_0010101 BinaryNumber_1001001 BinaryNumber_0001110 BinaryNumber_0111011 BinaryNumber_0111100 BinaryNumber_1000000
BinaryNumber_1100011 BinaryNumber_1001000 BinaryNumber_1000000 BinaryNumber_0011111 BinaryNumber_0010111 BinaryNumber_0111010 BinaryNumber_0110100 BinaryNumber_0111111 BinaryNumber_0011111 BinaryNumber_1011100
BinaryNumber_0100101 BinaryNumber_0101010 BinaryNumber_0110001 BinaryNumber_0010110 BinaryNumber_0001010 BinaryNumber_0100100 BinaryNumber_0011100 BinaryNumber_0100000 BinaryNumber_1011011 BinaryNumber_1010111
BinaryNumber_1001101 BinaryNumber_0100111 BinaryNumber_0011111 BinaryNumber_0101011 BinaryNumber_0010001 BinaryNumber_1011100 BinaryNumber_1001000 BinaryNumber_0110111 BinaryNumber_0110101 BinaryNumber_1001011
BinaryNumber_0110110 BinaryNumber_0110001 BinaryNumber_1000010 BinaryNumber_0101001 BinaryNumber_1001111 BinaryNumber_1001011 BinaryNumber_1011101 BinaryNumber_0000101 BinaryNumber_0011101 BinaryNumber_0110000
temperature__56c temperature__69c temperature__16c temperature__112c temperature__142c temperature__132c temperature__5c temperature__2c temperature__93c temperature__30c
temperature__2c temperature__24c temperature__28c temperature__50c temperature__95c temperature__3c temperature__31c temperature__31c temperature__100c temperature__42c
