Crimson Turquoise Gainsboro LightPink Burlywood DarkOliveGreen LightGoldenrodYellow Black Goldenrod OliveDrab
Moccasin OrangeRed LightSlateGray Azure LightCoral Crimson Seashell Tan LightGray LightGray
DarkGreen LightSteelBlue Cyan Blue GhostWhite Seashell PaleGreen Sienna LightGreen IndianRed
Tan Lavender DimGray GreenYellow DarkGreen Tomato Teal DarkTurquoise LightYellow PaleGoldenrod
MediumVioletRed DarkRed LightSteelBlue Linen Orchid PapayaWhip Chocolate Bisque Chocolate MediumAquamarine
SpringGreen Tan SlateBlue NavajoWhite AliceBlue Feldspar MediumTurquoise DeepPink DarkKhaki SaddleBrown
Sienna BlueViolet Goldenrod MediumVioletRed Silver OliveDrab DarkOliveGreen DarkGray DeepPink IndianRed
DarkBlue PaleGreen Green Silver Azure Snow Aquamarine Plum Pink LightYellow
LightBlue Indigo LawnGreen PowderBlue HotPink SandyBrown DarkKhaki Orange Red PaleTurquoise
Snow Crimson SaddleBrown DarkOrange PaleVioletRed SeaGreen LawnGreen Moccasin Lime PaleGoldenrod
Teal Indigo Purple FloralWhite Snow LightCyan BlanchedAlmond Pink Gainsboro RosyBrown
BinaryNumber_0100011 BinaryNumber_0001001 BinaryNumber_0010010 BinaryNumber_1001001 BinaryNumber_0000110 BinaryNumber_0000110 BinaryNumber_0010000 BinaryNumber_1010100 BinaryNumber_0010101 BinaryNumber_1000111
BinaryNumber_0001000 BinaryNumber_1011101 BinaryNumber_0001111 BinaryNumber_0100000 BinaryNumber_0011011 BinaryNumber_1000111 BinaryNumber_0100110 BinaryNumber_1001111 BinaryNumber_1100000 BinaryNumber_0100000
BinaryNumber_0001101 BinaryNumber_0100110 BinaryNumber_1011101 BinaryNumber_0110100 BinaryNumber_0000101 BinaryNumber_1011111 BinaryNumber_0000011 BinaryNumber_0101011 BinaryNumber_0001110 BinaryNumber_1010010
BinaryNumber_0110100 BinaryNumber_1010100 BinaryNumber_0110000 BinaryNumber_0100101 BinaryNumber_0101010 BinaryNumber_0010110 BinaryNumber_1010010 BinaryNumber_0110110 BinaryNumber_1001111 BinaryNumber_1010111
