Blackberry Pomegranate Plum Pineberry Kumquat Araza Clementine Lychee Ximenia Feijoa
Orange Mandarine Prune Pomelo Salak Sapote Pear Yuzu Raisin Orange
Blueberry Sapote Strawberry Loganberry Pomegranate Durian Date Yuzu Plum Abiu
Pomelo Passionfruit Abiu Jackfruit Tangerine Canistel Pawpaw Cherry Pomelo Cantaloupe
Peach Durian Honeydew Canistel Sapodilla Cherry Breadfruit Jambul Feijoa Honeydew
Passionfruit Mangosteen Ximenia Watermelon Kiwano Mango Persimmon Jambul Feijoa Abiu
Cempedak Plum Plantain Currant Açaí Orange Kumquat Araza Grape Loquat
Watermelon Jambul Bilberry Satsuma Plum Canistel Cashew Loganberry Clementine Redcurrant
Tamarillo Fig Fig Açaí Mandarine Cashew Loganberry Honeyberry Araza Honeyberry
Bilberry Pear Tayberry Blueberry Yuzu Date Banana Durian Nance Açaí
Papaya Tangelo Jostaberry Prune Raisin Quince Jackfruit Plum Sapote Ximenia
BinaryNumber_0001001 BinaryNumber_0010100 BinaryNumber_0010101 BinaryNumber_1000101 BinaryNumber_0001101 BinaryNumber_0100011 BinaryNumber_1100001 BinaryNumber_1010111 BinaryNumber_1000100 BinaryNumber_1011001
BinaryNumber_0100101 BinaryNumber_0001010 BinaryNumber_1010111 BinaryNumber_0111100 BinaryNumber_0101011 BinaryNumber_1010011 BinaryNumber_0011101 BinaryNumber_0011010 BinaryNumber_0001100 BinaryNumber_1010110
BinaryNumber_0100111 BinaryNumber_0111011 BinaryNumber_1011100 BinaryNumber_1100001 BinaryNumber_1010100 BinaryNumber_0001000 BinaryNumber_0001010 BinaryNumber_0100101 BinaryNumber_0100001 BinaryNumber_0110000
BinaryNumber_0011001 BinaryNumber_0011000 BinaryNumber_0101001 BinaryNumber_0101110 BinaryNumber_1011111 BinaryNumber_1011111 BinaryNumber_0111101 BinaryNumber_1010101 BinaryNumber_0111101 BinaryNumber_1011111
BinaryNumber_0000010 BinaryNumber_1010011 BinaryNumber_0111011 BinaryNumber_1001011 BinaryNumber_0010001 BinaryNumber_0110001 BinaryNumber_0010010 BinaryNumber_0100100 BinaryNumber_1010111 BinaryNumber_0111001
BinaryNumber_0001011 BinaryNumber_1000001 BinaryNumber_1001000 BinaryNumber_0010010 BinaryNumber_0101001 BinaryNumber_0110100 BinaryNumber_1000010 BinaryNumber_1011100 BinaryNumber_0111110 BinaryNumber_0110100
BinaryNumber_0100111 BinaryNumber_0101011 BinaryNumber_0011110 BinaryNumber_1001100 BinaryNumber_0001111 BinaryNumber_1010010 BinaryNumber_1000101 BinaryNumber_0011100 BinaryNumber_1000111 BinaryNumber_1001111
BinaryNumber_0011010 BinaryNumber_1011011 BinaryNumber_0100100 BinaryNumber_1001101 BinaryNumber_0111000 BinaryNumber_1001001 BinaryNumber_0110100 BinaryNumber_0010000 BinaryNumber_1011100 BinaryNumber_0011110
