DarkViolet SandyBrown Ivory Thistle GreenYellow SpringGreen DeepPink LightSeaGreen Burlywood Chartreuse
LightPink LemonChiffon Brown PeachPuff DarkGray PapayaWhip DarkGray DarkViolet LightGreen LightSalmon
Orange DarkSlateBlue Silver PaleVioletRed Silver SkyBlue Chartreuse LightBlue SeaGreen DarkFuchsia
Crimson LightGoldenrodYellow SlateGray DarkTurquoise LavenderBlush PeachPuff DarkSlateBlue Yellow Khaki DarkOrange
DarkCyan DarkTurquoise DarkViolet DodgerBlue Linen BlueViolet Goldenrod DarkGoldenrod DodgerBlue Feldspar
DarkSlateBlue LawnGreen Fuchsia LightSteelBlue MediumSeaGreen LightYellow MediumAquamarine Seashell DarkOrchid LightCoral
LavenderBlush Lime LightCyan LightCoral Plum Goldenrod IndianRed DarkOrchid LimeGreen DarkBlue
Feldspar GreenYellow Cornsilk Coral PaleVioletRed SkyBlue DarkGray MediumSpringGreen CadetBlue DodgerBlue
MediumTurquoise LimeGreen Snow BlanchedAlmond RoyalBlue DarkSlateGray Coral MediumSeaGreen Sienna DarkGray
LimeGreen Gold VioletRed Brown DarkSalmon AntiqueWhite Crimson NavajoWhite DarkCyan White
Cornsilk OrangeRed NavajoWhite RoyalBlue OldLace SlateBlue DarkGreen Goldenrod AliceBlue LightYellow
BinaryNumber_1001000 BinaryNumber_0011000 BinaryNumber_0111101 BinaryNumber_0011100 BinaryNumber_0000010 BinaryNumber_1001100 BinaryNumber_0011010 BinaryNumber_1000001 BinaryNumber_1001101 BinaryNumber_0011100
BinaryNumber_1001011 BinaryNumber_0110001 BinaryNumber_1001011 BinaryNumber_0000010 BinaryNumber_1001101 BinaryNumber_0110010 BinaryNumber_0110100 BinaryNumber_0011010 BinaryNumber_0101110 BinaryNumber_1000110
BinaryNumber_0011000 BinaryNumber_0101111 BinaryNumber_1000000 BinaryNumber_0100011 BinaryNumber_0011110 BinaryNumber_1010011 BinaryNumber_0010001 BinaryNumber_0000100 BinaryNumber_0010011 BinaryNumber_0011100
BinaryNumber_0100111 BinaryNumber_0101011 BinaryNumber_1000100 BinaryNumber_0101011 BinaryNumber_0101110 BinaryNumber_0110001 BinaryNumber_1000010 BinaryNumber_0100001 BinaryNumber_0011001 BinaryNumber_0110100
