PaleTurquoise Orange PaleVioletRed LightYellow LightCoral LemonChiffon DarkGreen MediumSlateBlue LavenderBlush DarkGray
Tomato CadetBlue SkyBlue Orchid CadetBlue Blue Snow MintCream LightCyan DarkSlateBlue
Honeydew PeachPuff LawnGreen OliveDrab Navy Thistle Fuchsia MistyRose White Navy
WhiteSmoke Sienna SkyBlue RoyalBlue Beige MediumBlue OrangeRed Brown LightSkyBlue Gray
DarkTurquoise LightCoral PapayaWhip PapayaWhip Wheat Teal BlanchedAlmond Yellow LightGoldenrodYellow MidnightBlue
LightSeaGreen White LightGray Khaki DarkSeaGreen DodgerBlue FloralWhite BlanchedAlmond MediumSeaGreen MediumSlateBlue
DarkSalmon MediumSlateBlue Blue MidnightBlue LightSlateBlue MediumSlateBlue DarkKhaki Sienna Chocolate Sienna
Crimson Green Blue LightBlue Snow Coral LimeGreen Khaki Orchid Gainsboro
Maroon Thistle Ivory Chartreuse Goldenrod Peru Gainsboro Feldspar DodgerBlue HotPink
LightSteelBlue DarkOliveGreen DarkKhaki Honeydew AntiqueWhite Chocolate Snow Wheat LightGoldenrod OliveDrab
Tan Yellow Beige SeaGreen LightSalmon Olive DarkOrchid GreenYellow Seashell LemonChiffon
alive unsightly innocent dangerous helpful panicky arrogant expensive excited fine
better embarrassed brainy encouraging troubled worrisome wicked courageous alert obedient
breakable fragile horrible eager light stormy bloody frail motionless difficult
victorious calm breakable bored shiny envious elegant tasty annoyed comfortable
tender obedient proud famous fine outrageous puzzled nutty easy exuberant
naughty easy frantic adventurous proud innocent elegant magnificent terrible impossible
cloudy curious combative adorable agreeable magnificent sparkling uptight stupid alert
energetic gleaming jolly selfish confused defiant adorable friendly creepy friendly
powerful gleaming brainy puzzled nice obnoxious cautious expensive prickly blue-eyed
gifted eager exuberant cheerful uptight cute dull spotless proud charming
glamorous relieved clean cloudy precious dead gentle easy drab beautiful
BinaryNumber_1001100 BinaryNumber_1011110 BinaryNumber_0000110 BinaryNumber_0100101 BinaryNumber_1011011 BinaryNumber_0101000 BinaryNumber_0101001 BinaryNumber_0111100 BinaryNumber_0010010 BinaryNumber_1011011
BinaryNumber_1100001 BinaryNumber_0001100 BinaryNumber_0000100 BinaryNumber_0011011 BinaryNumber_0111010 BinaryNumber_0000110 BinaryNumber_0001000 BinaryNumber_0111011 BinaryNumber_1011111 BinaryNumber_0110010
BinaryNumber_1100010 BinaryNumber_0000011 BinaryNumber_1100011 BinaryNumber_0111000 BinaryNumber_0110111 BinaryNumber_1000000 BinaryNumber_0100011 BinaryNumber_1001000 BinaryNumber_1010111 BinaryNumber_1000110
BinaryNumber_0001000 BinaryNumber_0111110 BinaryNumber_1011010 BinaryNumber_0111110 BinaryNumber_0000110 BinaryNumber_0001101 BinaryNumber_0110101 BinaryNumber_0010001 BinaryNumber_0001011 BinaryNumber_1100000
BinaryNumber_0110001 BinaryNumber_0011011 BinaryNumber_0010100 BinaryNumber_0011101 BinaryNumber_1011100 BinaryNumber_0110000 BinaryNumber_0101011 BinaryNumber_0110110 BinaryNumber_1011011 BinaryNumber_0000001
BinaryNumber_0101100 BinaryNumber_0010010 BinaryNumber_1000100 BinaryNumber_0000110 BinaryNumber_0110101 BinaryNumber_0011001 BinaryNumber_1000001 BinaryNumber_1000110 BinaryNumber_1011100 BinaryNumber_0001010
BinaryNumber_1001000 BinaryNumber_0011110 BinaryNumber_1100010 BinaryNumber_0010000 BinaryNumber_1011000 BinaryNumber_1011011 BinaryNumber_1011010 BinaryNumber_0010010 BinaryNumber_0000100 BinaryNumber_0101010
BinaryNumber_1011010 BinaryNumber_0101100 BinaryNumber_0101011 BinaryNumber_0101101 BinaryNumber_1011010 BinaryNumber_1011111 BinaryNumber_1100011 BinaryNumber_0110100 BinaryNumber_0010111 BinaryNumber_0011100
BinaryNumber_1001010 BinaryNumber_0111110 BinaryNumber_0010110 BinaryNumber_0011100 BinaryNumber_0010110 BinaryNumber_0001101 BinaryNumber_0001100 BinaryNumber_0100010 BinaryNumber_0010000 BinaryNumber_1000010
BinaryNumber_0100100 BinaryNumber_0111001 BinaryNumber_0111000 BinaryNumber_0001000 BinaryNumber_0101111 BinaryNumber_1010111 BinaryNumber_0101010 BinaryNumber_0110110 BinaryNumber_0110011 BinaryNumber_0000111
