cooperative energetic vivacious alert crazy bloody brave gleaming agreeable comfortable
determined lucky plain charming puzzled unusual thoughtful clumsy eager kind
tough impossible fantastic beautiful bad lonely unusual hungry handsome nutty
alive motionless crowded itchy frightened lucky hilarious excited filthy frightened
thankful homeless busy inquisitive breakable selfish tame jealous witty stupid
blushing annoying innocent silly dull clean dull mysterious evil silly
clear good perfect happy relieved defeated better confused plain wandering
jittery old-fashioned charming attractive tired dull weary naughty bad clear
obedient blue-eyed exuberant cute defeated anxious troubled old-fashioned nice outrageous
outrageous horrible uptight splendid gorgeous curious spotless famous friendly energetic
distinct confused nice eager determined crazy aggressive modern foolish average
BinaryNumber_0110100 BinaryNumber_1011011 BinaryNumber_0010010 BinaryNumber_0100100 BinaryNumber_1000010 BinaryNumber_0011111 BinaryNumber_1100011 BinaryNumber_1011010 BinaryNumber_0011011 BinaryNumber_0011100
BinaryNumber_0111000 BinaryNumber_1100001 BinaryNumber_1010011 BinaryNumber_0100010 BinaryNumber_1000100 BinaryNumber_1011000 BinaryNumber_0010100 BinaryNumber_0001001 BinaryNumber_0001111 BinaryNumber_0010010
BinaryNumber_0011111 BinaryNumber_0011110 BinaryNumber_0111111 BinaryNumber_0011111 BinaryNumber_1011100 BinaryNumber_0010000 BinaryNumber_1011000 BinaryNumber_0001001 BinaryNumber_0111111 BinaryNumber_1010100
BinaryNumber_1010011 BinaryNumber_1001100 BinaryNumber_0100100 BinaryNumber_0101010 BinaryNumber_1011111 BinaryNumber_0010011 BinaryNumber_0110001 BinaryNumber_1000101 BinaryNumber_1010010 BinaryNumber_1000001
BinaryNumber_0101011 BinaryNumber_0110001 BinaryNumber_0101111 BinaryNumber_0001100 BinaryNumber_0101010 BinaryNumber_0101110 BinaryNumber_0101011 BinaryNumber_0100001 BinaryNumber_0111101 BinaryNumber_0010100
BinaryNumber_0101001 BinaryNumber_0101101 BinaryNumber_0000010 BinaryNumber_0100101 BinaryNumber_0100101 BinaryNumber_1000110 BinaryNumber_0111001 BinaryNumber_0001111 BinaryNumber_1000001 BinaryNumber_0101101
BinaryNumber_0111011 BinaryNumber_0011111 BinaryNumber_0001111 BinaryNumber_0111010 BinaryNumber_0100100 BinaryNumber_0000000 BinaryNumber_1010001 BinaryNumber_1000100 BinaryNumber_1011101 BinaryNumber_1010100
BinaryNumber_1000010 BinaryNumber_0010100 BinaryNumber_0111100 BinaryNumber_0101011 BinaryNumber_0110100 BinaryNumber_1010000 BinaryNumber_0110101 BinaryNumber_1010010 BinaryNumber_0000110 BinaryNumber_0101100
BinaryNumber_0011010 BinaryNumber_0111011 BinaryNumber_1010100 BinaryNumber_1011111 BinaryNumber_1000001 BinaryNumber_0101010 BinaryNumber_0001101 BinaryNumber_0100110 BinaryNumber_0101100 BinaryNumber_1000011
BinaryNumber_1001100 BinaryNumber_0110101 BinaryNumber_0000110 BinaryNumber_0010000 BinaryNumber_0010010 BinaryNumber_0100011 BinaryNumber_1001000 BinaryNumber_0011010 BinaryNumber_0011011 BinaryNumber_0111000
BinaryNumber_0101010 BinaryNumber_0011111 BinaryNumber_1000011 BinaryNumber_0100101 BinaryNumber_1010011 BinaryNumber_0110100 BinaryNumber_1000111 BinaryNumber_0011011 BinaryNumber_0010110 BinaryNumber_0110000
Wheat LawnGreen MediumPurple Chocolate LimeGreen DarkViolet PowderBlue Olive DarkTurquoise GreenYellow
PaleGoldenrod RoyalBlue Turquoise LightSeaGreen SlateGray OldLace PaleTurquoise DarkBlue DimGray Cyan
MediumVioletRed Thistle DarkGray PapayaWhip Purple LightSalmon Chocolate White Violet IndianRed
WhiteSmoke LightCyan PeachPuff LightBlue MediumBlue LightGoldenrod DarkOliveGreen DarkOrchid Orange SkyBlue
DarkKhaki Wheat Orchid DarkViolet DarkViolet Indigo ForestGreen DeepPink Moccasin PapayaWhip
LightSlateBlue Thistle Snow GreenYellow Snow IndianRed DarkKhaki Sienna Gold Feldspar
GhostWhite MediumAquamarine Red LightPink MediumSpringGreen LemonChiffon Sienna Aquamarine Feldspar PapayaWhip
LightBlue DarkOrchid WhiteSmoke Linen Chartreuse BlueViolet Linen SlateGray BlanchedAlmond DodgerBlue
MediumVioletRed SeaGreen MediumSpringGreen DeepSkyBlue Ivory PaleGreen Burlywood CornflowerBlue Ivory LimeGreen
DarkGray MediumOrchid LightGreen CadetBlue Seashell Cyan LightSteelBlue PeachPuff OliveDrab MediumTurquoise
