Chartreuse Cyan Honeydew MediumSeaGreen White Feldspar OrangeRed DarkOrange Salmon GhostWhite
Fuchsia Gold Snow Ivory DarkBlue DarkViolet DeepPink RosyBrown Lavender Cyan
LemonChiffon FloralWhite DarkGoldenrod PeachPuff LightSeaGreen Indigo SeaGreen LimeGreen Brown Khaki
Aquamarine LightPink Wheat LightSlateGray DeepPink MediumOrchid Orchid Lavender DarkCyan DarkTurquoise
AntiqueWhite LightBlue LemonChiffon Bisque OldLace Turquoise Chocolate Red Feldspar FloralWhite
DarkSeaGreen GreenYellow Azure LawnGreen DarkSeaGreen DarkBlue MediumAquamarine DarkRed DimGray Fuchsia
DarkCyan DarkViolet Coral LightBlue MediumBlue Firebrick LightBlue MediumSlateBlue Fuchsia PaleGoldenrod
PaleGoldenrod Blue LightGoldenrodYellow AliceBlue SlateBlue MediumSpringGreen DarkCyan PaleVioletRed RoyalBlue Purple
Honeydew Seashell SlateGray Red Maroon NavajoWhite LimeGreen PowderBlue Lavender SpringGreen
DarkCyan Seashell CadetBlue LightCoral DarkGoldenrod SlateBlue DarkBlue GreenYellow LemonChiffon Olive
DarkOrange MistyRose OliveDrab Plum SaddleBrown LightSkyBlue Maroon Seashell Violet DimGray
criminality trial criminality unsolved barratry psychological lift corruption heist hijack
psychological hijack shoplift prostitution sin terrorism trafficking gun political murders
suspense legal imprisonment death investigation heist unsolved transgression political crime
theft assault legal government blackmail offense supernatural conspiracy genocide serial
shootings shoplift trial unsolved heist skyjack snitching illegal blackmail homicides
prostitution threats drug genocide mystery dark war forensic slay detective
forensic accident story cop police offense legal homicides victim misdemeanour
pirate story snitching gangs corrupt conspiracy theft drama illegal illegal
suspense trafficking human supernatural smuggle detective kill justice safety trial
gangsterism prostitution racism death war spy poison war criminality forensic
structuralism legal gangsterism detective arsons racism poison punitive guilt noir
gamely hockey tournaments kill work blazers active soccerball rollick form
referee concert offside horseracing skiing casual fighting coach boulder gamely
wipeout esport extracurricular luge games competitive premium martial sportsman active
cycling action league social hockey disport rollick skateboard safari position
diver tradition funambulism suit yoga challenge fast gymnastics cross limited
exercises chess recreation team kill sportsman game volleyball team badminton
blazers utility athletic horseracing competition running basketball martial soccerball play
work athlete eco athletics teams lifestyle funambulism community snowboarding mutant
pack supersport spar entertainment industry soccer comfort coach romp company
esport fighting esports soccer cavort teams dynamic bouldering teams video
organization bouldering events cavort movement run racing active archery lead
combative drab tasty zealous graceful dead stupid tense mysterious super
frantic wandering innocent magnificent scary worried rich wide-eyed helpless colorful
clear dark putrid glamorous delightful bloody sleepy fantastic good poor
rich cooperative uninterested gifted hungry delightful handsome brainy zealous homeless
mushy precious unusual homely jolly lively colorful hungry bright colorful
hungry scary obnoxious evil outstanding easy putrid thoughtful misty prickly
anxious scary homely spotless drab modern disgusted ashamed powerful blue-eyed
nervous stormy thoughtless good puzzled clever healthy curious stupid happy
famous inexpensive innocent talented odd unusual cautious terrible old-fashioned disturbed
defeated determined lazy filthy rich smoggy alive nutty grotesque obnoxious
dizzy outrageous dizzy fair troubled famous dull clever dark blue
