vast strange scary quaint blue tough charming alive determined cute
outstanding nasty frightened selfish zany mushy smiling selfish clumsy uptight
dull brainy bright proud ill ashamed agreeable lovely lucky cloudy
wicked evil frail nice pleasant kind helpless gifted unusual doubtful
homely faithful glamorous tasty confused dull fair jittery silly thoughtful
bewildered quaint homeless proud better unsightly relieved lucky uptight attractive
relieved misty concerned busy obedient victorious lazy mushy unusual zany
witty worried grieving grieving combative fancy cautious exuberant open foolish
nervous shiny breakable naughty thoughtless itchy wild concerned thoughtful kind
perfect itchy hilarious tough concerned innocent poised bored outrageous busy
tame encouraging excited grumpy sleepy splendid mushy thoughtless cruel terrible
BinaryNumber_0100101 BinaryNumber_0000010 BinaryNumber_0110110 BinaryNumber_1010111 BinaryNumber_1010001 BinaryNumber_0010000 BinaryNumber_1010110 BinaryNumber_0001111 BinaryNumber_1000010 BinaryNumber_0001000
BinaryNumber_0100000 BinaryNumber_1001100 BinaryNumber_0000010 BinaryNumber_1001111 BinaryNumber_0110111 BinaryNumber_1010111 BinaryNumber_1011001 BinaryNumber_1100011 BinaryNumber_1001101 BinaryNumber_1001101
BinaryNumber_0001100 BinaryNumber_0101001 BinaryNumber_0111110 BinaryNumber_0010101 BinaryNumber_0111010 BinaryNumber_0011100 BinaryNumber_0000111 BinaryNumber_0000110 BinaryNumber_0111000 BinaryNumber_0110111
BinaryNumber_1001110 BinaryNumber_1001000 BinaryNumber_1010001 BinaryNumber_1001101 BinaryNumber_0100100 BinaryNumber_1010001 BinaryNumber_0111000 BinaryNumber_0100111 BinaryNumber_0100010 BinaryNumber_0101001
BinaryNumber_0111001 BinaryNumber_0110001 BinaryNumber_1010100 BinaryNumber_0101001 BinaryNumber_0101101 BinaryNumber_0001000 BinaryNumber_0000011 BinaryNumber_1100011 BinaryNumber_0100010 BinaryNumber_1010111
BinaryNumber_0100101 BinaryNumber_1010011 BinaryNumber_0011010 BinaryNumber_1000001 BinaryNumber_0110110 BinaryNumber_0000100 BinaryNumber_0001011 BinaryNumber_0011111 BinaryNumber_1001101 BinaryNumber_1001101
BinaryNumber_0011011 BinaryNumber_0111011 BinaryNumber_1010100 BinaryNumber_0000110 BinaryNumber_1010001 BinaryNumber_0001100 BinaryNumber_0001000 BinaryNumber_1100010 BinaryNumber_0111100 BinaryNumber_1100010
BinaryNumber_0100000 BinaryNumber_1000010 BinaryNumber_1011010 BinaryNumber_0101100 BinaryNumber_1001011 BinaryNumber_0110100 BinaryNumber_0111011 BinaryNumber_0100100 BinaryNumber_0110000 BinaryNumber_0110100
BinaryNumber_1001111 BinaryNumber_0001111 BinaryNumber_0101110 BinaryNumber_1001011 BinaryNumber_0000001 BinaryNumber_1001010 BinaryNumber_0010000 BinaryNumber_0001010 BinaryNumber_1011110 BinaryNumber_0011100
BinaryNumber_0111010 BinaryNumber_0011001 BinaryNumber_0000110 BinaryNumber_0100110 BinaryNumber_0010101 BinaryNumber_0110100 BinaryNumber_1011101 BinaryNumber_0010011 BinaryNumber_0111100 BinaryNumber_1011100
BinaryNumber_0001000 BinaryNumber_1001011 BinaryNumber_1000011 BinaryNumber_0111111 BinaryNumber_1001001 BinaryNumber_0010101 BinaryNumber_1001100 BinaryNumber_0010110 BinaryNumber_0111000 BinaryNumber_1011011
22:42 19:31 21:32 22:29 16:25 14:28 21:30 16:42 22:53 11:35
18:37 13:19 11:19 18:30 11:28 18:29 13:22 20:27 11:22 11:22
