DarkViolet Cornsilk SkyBlue DarkCyan LightPink LightCyan OliveDrab Thistle DarkFuchsia PowderBlue
LightGray DeepSkyBlue DodgerBlue VioletRed LimeGreen Orange Burlywood CadetBlue DarkSlateGray Chartreuse
Khaki SlateBlue LightSeaGreen Seashell Azure ForestGreen RosyBrown LightGreen OliveDrab Olive
Seashell Silver LightGoldenrod LawnGreen Pink GhostWhite MediumSpringGreen LightBlue MidnightBlue CadetBlue
HotPink Wheat DeepPink LightYellow SlateGray DarkOrchid Blue LightGoldenrod Firebrick RosyBrown
DarkFuchsia Azure AliceBlue MediumSeaGreen NavajoWhite SeaGreen MediumTurquoise LightCoral Peru Green
Turquoise Red MediumAquamarine DarkKhaki LemonChiffon NavajoWhite MediumVioletRed LightGray LightCyan LightGoldenrod
LightSteelBlue OldLace DimGray SlateBlue RoyalBlue NavajoWhite Plum Silver DarkGray DarkRed
RosyBrown ForestGreen IndianRed LightGray MediumVioletRed Pink DarkRed Silver Aquamarine Black
LightGoldenrod LightGray Cyan DarkTurquoise DimGray OrangeRed SeaGreen LightSeaGreen MediumSpringGreen SeaGreen
Goldenrod AliceBlue Crimson DeepSkyBlue GreenYellow Bisque Yellow Brown DarkSalmon OrangeRed
CubeNumber_27 CubeNumber_132651 CubeNumber_512000 CubeNumber_125000 CubeNumber_438976 CubeNumber_226981 CubeNumber_357911 CubeNumber_753571 CubeNumber_636056 CubeNumber_531441
CubeNumber_343 CubeNumber_6859 CubeNumber_250047 CubeNumber_15625 CubeNumber_614125 CubeNumber_9261 CubeNumber_6859 CubeNumber_438976 CubeNumber_681472 CubeNumber_27
CubeNumber_19683 CubeNumber_262144 CubeNumber_474552 CubeNumber_1331 CubeNumber_941192 CubeNumber_50653 CubeNumber_857375 CubeNumber_17576 CubeNumber_614125 CubeNumber_2197
CubeNumber_1000 CubeNumber_658503 CubeNumber_157464 CubeNumber_373248 CubeNumber_74088 CubeNumber_8 CubeNumber_884736 CubeNumber_12167 CubeNumber_27000 CubeNumber_15625
CubeNumber_140608 CubeNumber_140608 CubeNumber_12167 CubeNumber_85184 CubeNumber_1331 CubeNumber_531441 CubeNumber_2197 CubeNumber_636056 CubeNumber_5832 CubeNumber_68921
CubeNumber_125000 CubeNumber_29791 CubeNumber_357911 CubeNumber_39304 CubeNumber_238328 CubeNumber_262144 CubeNumber_157464 CubeNumber_97336 CubeNumber_205379 CubeNumber_8000
CubeNumber_39304 CubeNumber_74088 CubeNumber_884736 CubeNumber_226981 CubeNumber_195112 CubeNumber_19683 CubeNumber_148877 CubeNumber_287496 CubeNumber_9261 CubeNumber_571787
CubeNumber_474552 CubeNumber_24389 CubeNumber_68921 CubeNumber_1331 CubeNumber_571787 CubeNumber_474552 CubeNumber_50653 CubeNumber_24389 CubeNumber_32768 CubeNumber_54872
CubeNumber_681472 CubeNumber_493039 CubeNumber_300763 CubeNumber_8 CubeNumber_110592 CubeNumber_884736 CubeNumber_3375 CubeNumber_91125 CubeNumber_216 CubeNumber_884736
