Tan SlateBlue DarkGray LightSteelBlue MediumOrchid MediumAquamarine Silver Burlywood Tomato Purple
DeepSkyBlue Gray Cyan ForestGreen Olive Cornsilk DarkOrchid Silver Gold DarkGoldenrod
LightGoldenrodYellow DarkGoldenrod PaleGreen DarkOrange LightCyan MediumSeaGreen Orange Purple LightYellow Red
Maroon Indigo VioletRed Burlywood Snow DarkSalmon DarkSeaGreen LavenderBlush LightGreen MediumSeaGreen
LightYellow NavajoWhite MintCream PaleVioletRed CadetBlue LavenderBlush GhostWhite SlateBlue Gainsboro Indigo
MediumOrchid DeepPink CornflowerBlue SaddleBrown IndianRed Goldenrod Moccasin LightPink Red IndianRed
Firebrick LemonChiffon DarkOliveGreen LightSalmon DarkSeaGreen MidnightBlue HotPink LightSteelBlue Snow Turquoise
Brown DarkSlateGray RosyBrown OrangeRed Brown LemonChiffon Fuchsia Blue LightGoldenrodYellow Lavender
SpringGreen RosyBrown GhostWhite DarkViolet Moccasin WhiteSmoke Azure MediumBlue RosyBrown Honeydew
LightSkyBlue Khaki Gray PaleGreen CadetBlue DodgerBlue ForestGreen FloralWhite MediumSeaGreen RoyalBlue
ForestGreen GhostWhite DarkRed Red LightSalmon LimeGreen Olive MediumSpringGreen Crimson Lime
structuralism snitching mutilation gun mob shootings government law-breaking vandalism homicides
kill law abuse thrillers forensic skyjack shootings suspense arrest mutilation
violence offense imprisonment guilt corruption criminal gangs investigation lift homeless
vandalism drug spy drug gun arsons imprisonment racism liberty missing
thrillers safety fraud accident law-breaking police gang death murders vandalism
supernatural country rape illegal poison safety country serial detective rape
dark cybercrime barratry transgression supernatural legislature hijack vandalism cases mystery
criminal spy mystery highjack gangsterism bloodshed poison arsons offense shoplift
terrorism supernatural action bloodshed offence gangster heist guilt theft mob
criminal slayings thriller legal incarceration drug criminals missing suspense kill
misdemeanour criminal suspense slayings gangs offenders law poison revenge gangs
imac computercircuit xbox arithmetic daw electromechanical camera digitalcommunication camera vacuumtube
