outrageous better kind tense stormy clear courageous anxious evil ugliest
fantastic defiant bloody stormy thoughtless fancy bright graceful dangerous condemned
ashamed inquisitive awful joyous happy jealous repulsive black mushy energetic
ashamed smoggy good inquisitive graceful wicked filthy talented filthy cruel
impossible smiling wide-eyed mysterious inexpensive successful outstanding adventurous thoughtless expensive
frightened repulsive outrageous famous lazy sleepy adventurous creepy splendid uptight
innocent fine fair thankful fine ugly important grumpy jittery ill
fair energetic arrogant defeated wandering splendid frightened thankful anxious expensive
homeless combative gleaming helpless puzzled thoughtless defeated lonely zealous frightened
mysterious attractive blue-eyed old-fashioned lovely sore panicky defiant terrible odd
clean talented jittery prickly shiny helpful lucky relieved difficult weary
Green DarkTurquoise CadetBlue Snow Maroon LightSkyBlue HotPink White GreenYellow Salmon
MediumSlateBlue Red Turquoise FloralWhite SlateGray MediumOrchid DarkOrange LightSkyBlue LightBlue MediumAquamarine
MediumSeaGreen PaleGoldenrod DarkCyan CadetBlue RosyBrown MediumAquamarine Gold MidnightBlue SkyBlue SkyBlue
DarkOrange Ivory PaleVioletRed SandyBrown SaddleBrown ForestGreen CornflowerBlue DarkViolet Bisque Fuchsia
SandyBrown Brown Turquoise LightPink OliveDrab LightPink Maroon Orange DarkOliveGreen LightSalmon
Khaki Chartreuse DarkGoldenrod Burlywood LawnGreen AliceBlue Green Beige DarkSeaGreen GreenYellow
LightSalmon OliveDrab DarkKhaki Peru SandyBrown PapayaWhip Maroon DeepSkyBlue HotPink Goldenrod
Silver NavajoWhite AntiqueWhite SpringGreen Wheat SteelBlue Gray ForestGreen Cyan DarkGray
MediumSeaGreen Olive Honeydew WhiteSmoke Plum Purple LightCoral LightSlateBlue SeaGreen LightSkyBlue
OliveDrab Gainsboro Goldenrod Moccasin LightYellow LightGoldenrodYellow RoyalBlue Orchid MediumOrchid MidnightBlue
LightBlue LightGoldenrod SpringGreen LightGray DarkSeaGreen LightSalmon LightCyan White Salmon SteelBlue
Fan Armoire Headboard Pew Console Drapery Pillow Chandelier Bureau Carpet
Frieze Rattle Tallboy Mirror Curtains Footrest Pliant Chest Hammock Sofa
Secretary Drapes Bentwood Pillow Bergere Crib Footstool Rack Hokey Vanity
Easel Hutch cubbies Bed Settee Curtains Hutch Crib Baroque Recliner
Bowfront Valet Desk Throne Table Chair Fluting Bench Bed Upholstery
