Turquoise AliceBlue DarkOrange PaleVioletRed Plum LightSlateGray MediumAquamarine LightGoldenrod Teal OldLace
DodgerBlue CadetBlue LightSteelBlue LightGoldenrodYellow Blue LightSkyBlue Crimson MintCream Aquamarine LightPink
CadetBlue Linen SpringGreen HotPink Sienna LightGoldenrodYellow RosyBrown PowderBlue SlateGray DarkGreen
OrangeRed LightCyan LightYellow SpringGreen LemonChiffon Orange LightGray HotPink MediumSeaGreen PapayaWhip
DarkSalmon LightSalmon OrangeRed Teal Honeydew Navy DimGray DarkSlateBlue Orange Beige
Salmon PaleVioletRed SpringGreen Maroon SeaGreen Maroon Orange Yellow Bisque Yellow
OliveDrab PowderBlue Khaki MintCream DarkOrchid Red Orchid DarkGray LightSteelBlue DarkGreen
PowderBlue MediumOrchid SeaGreen DarkCyan Chartreuse LightGreen Lime DarkRed PaleTurquoise Gold
Tomato LightBlue MediumAquamarine DarkCyan LavenderBlush Wheat DarkViolet Azure Bisque White
Orchid MediumOrchid Bisque Plum LightCoral MediumPurple MediumTurquoise Khaki LightYellow Lime
Plum Burlywood LimeGreen Peru LightSlateGray Ivory Cornsilk Plum GhostWhite LightSteelBlue
BinaryNumber_1000001 BinaryNumber_0101100 BinaryNumber_1011101 BinaryNumber_0011101 BinaryNumber_1011101 BinaryNumber_1001001 BinaryNumber_1011000 BinaryNumber_0000110 BinaryNumber_0101110 BinaryNumber_1001001
BinaryNumber_1010010 BinaryNumber_0011011 BinaryNumber_1100010 BinaryNumber_0111101 BinaryNumber_1011100 BinaryNumber_0001011 BinaryNumber_0001011 BinaryNumber_0101110 BinaryNumber_0011101 BinaryNumber_0010100
BinaryNumber_0010111 BinaryNumber_1100001 BinaryNumber_1001101 BinaryNumber_1011100 BinaryNumber_0100101 BinaryNumber_1000010 BinaryNumber_0111110 BinaryNumber_0011011 BinaryNumber_0100110 BinaryNumber_1001000
BinaryNumber_0011110 BinaryNumber_0101111 BinaryNumber_0110011 BinaryNumber_0011000 BinaryNumber_0101111 BinaryNumber_0011110 BinaryNumber_0000100 BinaryNumber_0110011 BinaryNumber_1001100 BinaryNumber_0101011
BinaryNumber_0111110 BinaryNumber_1010101 BinaryNumber_1000001 BinaryNumber_1011100 BinaryNumber_0111001 BinaryNumber_1011100 BinaryNumber_1011000 BinaryNumber_0001011 BinaryNumber_1100001 BinaryNumber_1000000
BinaryNumber_1011100 BinaryNumber_1010000 BinaryNumber_1000010 BinaryNumber_1011100 BinaryNumber_0110110 BinaryNumber_0110010 BinaryNumber_1011010 BinaryNumber_1001101 BinaryNumber_0101110 BinaryNumber_1000100
BinaryNumber_1001101 BinaryNumber_0111110 BinaryNumber_0110000 BinaryNumber_0010001 BinaryNumber_1001011 BinaryNumber_0101011 BinaryNumber_1011100 BinaryNumber_0011111 BinaryNumber_0000101 BinaryNumber_1000010
BinaryNumber_1010011 BinaryNumber_0011101 BinaryNumber_1000101 BinaryNumber_0010110 BinaryNumber_0000000 BinaryNumber_0011111 BinaryNumber_0010111 BinaryNumber_0110110 BinaryNumber_0101110 BinaryNumber_1000010
