Green DeepPink Tan PeachPuff OliveDrab Snow Bisque LightSlateBlue MediumAquamarine Ivory
WhiteSmoke DarkSeaGreen Lavender Brown LightSalmon Brown LavenderBlush Yellow DarkGreen Seashell
DarkGoldenrod DarkRed Crimson SteelBlue DarkSlateBlue LightSalmon LightGreen DimGray SaddleBrown DarkBlue
Violet OrangeRed VioletRed DarkCyan DarkSalmon DarkBlue DimGray BlanchedAlmond Thistle MintCream
MediumPurple DarkSeaGreen PapayaWhip Thistle ForestGreen GhostWhite LightCoral MediumOrchid CornflowerBlue MediumSlateBlue
DarkCyan LawnGreen Teal Black PowderBlue DeepSkyBlue DarkGray MediumOrchid Cornsilk MediumAquamarine
MediumSpringGreen Aquamarine PaleGoldenrod Burlywood Seashell Brown Honeydew Feldspar GhostWhite DarkOrchid
Feldspar MediumAquamarine LavenderBlush SandyBrown ForestGreen MediumAquamarine MediumSeaGreen Gold LightGray Azure
LightSlateBlue DarkOrange Azure LightGray LightPink DarkGray LightSeaGreen ForestGreen SkyBlue MidnightBlue
SteelBlue LightSkyBlue Ivory Gray MediumTurquoise SandyBrown Khaki HotPink Ivory MediumVioletRed
Moccasin DeepSkyBlue Moccasin LimeGreen HotPink PeachPuff Salmon Blue SteelBlue MediumOrchid
dead vast relieved inexpensive helpless distinct muddy annoying itchy fair
annoyed embarrassed jittery good adventurous fierce tame putrid prickly impossible
defeated anxious funny zealous odd brave cute drab black sore
enthusiastic rich odd homely graceful combative doubtful blushing nice angry
vivacious mushy fantastic splendid important zealous strange blue-eyed gifted arrogant
tough alive relieved witty impossible jittery ugliest amused easy encouraging
unsightly angry poor long funny confused charming poor clear bright
outstanding weary average prickly powerful encouraging thankful crowded outstanding envious
cheerful cloudy naughty energetic handsome fair delightful busy foolish exuberant
evil tame frantic distinct enthusiastic long talented lazy adorable shiny
expensive poised stupid alive breakable brave thoughtless gentle adorable cloudy
BinaryNumber_1011000 BinaryNumber_1011001 BinaryNumber_1011101 BinaryNumber_1010100 BinaryNumber_1100011 BinaryNumber_0011100 BinaryNumber_0111111 BinaryNumber_1010001 BinaryNumber_0011101 BinaryNumber_1100010
BinaryNumber_0101101 BinaryNumber_0111001 BinaryNumber_0101010 BinaryNumber_0100110 BinaryNumber_0011001 BinaryNumber_0010111 BinaryNumber_0001001 BinaryNumber_1001001 BinaryNumber_0111111 BinaryNumber_0101011
BinaryNumber_1000110 BinaryNumber_0101010 BinaryNumber_1011101 BinaryNumber_0001010 BinaryNumber_1011110 BinaryNumber_0010000 BinaryNumber_0001010 BinaryNumber_0000110 BinaryNumber_1100000 BinaryNumber_1001100
BinaryNumber_0001011 BinaryNumber_0001110 BinaryNumber_1011011 BinaryNumber_0110000 BinaryNumber_0011001 BinaryNumber_0111101 BinaryNumber_0011101 BinaryNumber_1000000 BinaryNumber_1011101 BinaryNumber_1011100
BinaryNumber_1000010 BinaryNumber_1000010 BinaryNumber_1000100 BinaryNumber_0001101 BinaryNumber_0001011 BinaryNumber_0001001 BinaryNumber_0100010 BinaryNumber_1011001 BinaryNumber_0011001 BinaryNumber_0110001
BinaryNumber_1001001 BinaryNumber_0110010 BinaryNumber_1000001 BinaryNumber_0110111 BinaryNumber_1001101 BinaryNumber_1011101 BinaryNumber_1100001 BinaryNumber_1100011 BinaryNumber_1011000 BinaryNumber_0000010
BinaryNumber_1010100 BinaryNumber_0000001 BinaryNumber_0111011 BinaryNumber_1000010 BinaryNumber_0101010 BinaryNumber_1011100 BinaryNumber_0010111 BinaryNumber_0111000 BinaryNumber_0001110 BinaryNumber_1010111
