Guava Damson Mango Jackfruit Tangerine Lemon Cempedak Araza Mandarine Prune
Apricot Papaya Araza Blueberry Pear Strawberry Pawpaw Raisin Sapote Gooseberry
Abiu Blueberry Date Tangelo Strawberry Pomelo Elderberry Abiu Apple Tayberry
Rambutan  Boysenberry Bilberry Tangerine Ackee Strawberry Pomegranate Mango Damson Lemon
Tangelo Coconut Loquat Kiwifruit Jambul Pineapple Tangelo Melon Pawpaw Gooseberry
Blueberry Rambutan  Salak Blackcurrant Kiwano Persimmon Pawpaw Ackee Pineberry Cherimoya
Grape Bilberry Cherimoya Plantain Jambul Boysenberry Strawberry Tamarillo Durian Soursop
Prune Feijoa Durian Quince Nectarine Clementine Canistel Jujube Salmonberry Jambul
Damson Boysenberry Fig Peach Nectarine Pineberry Kiwano Melon Pomelo Loquat
Passionfruit Cherimoya Prune Jostaberry Cranberry Coconut Elderberry Ackee Breadfruit Blackberry
Nectarine Clementine Watermelon Blackcurrant Strawberry Açaí Mandarine Feijoa Raisin Pear
BinaryNumber_0010001 BinaryNumber_1100011 BinaryNumber_1010100 BinaryNumber_0101010 BinaryNumber_0001101 BinaryNumber_0000011 BinaryNumber_1010110 BinaryNumber_1011010 BinaryNumber_0110011 BinaryNumber_1000010
BinaryNumber_0101011 BinaryNumber_1000000 BinaryNumber_0011100 BinaryNumber_0100101 BinaryNumber_0110101 BinaryNumber_1000010 BinaryNumber_0100110 BinaryNumber_1001101 BinaryNumber_1000010 BinaryNumber_0001001
BinaryNumber_1001001 BinaryNumber_1001000 BinaryNumber_1010011 BinaryNumber_1011001 BinaryNumber_0000101 BinaryNumber_0001111 BinaryNumber_1010101 BinaryNumber_0110101 BinaryNumber_0011101 BinaryNumber_1010100
BinaryNumber_1000100 BinaryNumber_0011011 BinaryNumber_1000100 BinaryNumber_1001001 BinaryNumber_0100100 BinaryNumber_0101111 BinaryNumber_0001011 BinaryNumber_0111010 BinaryNumber_0011100 BinaryNumber_1001111
BinaryNumber_0001110 BinaryNumber_1001100 BinaryNumber_0011100 BinaryNumber_0000000 BinaryNumber_0010110 BinaryNumber_0011010 BinaryNumber_0001000 BinaryNumber_0010011 BinaryNumber_0111110 BinaryNumber_0111001
BinaryNumber_0111101 BinaryNumber_0010110 BinaryNumber_0010100 BinaryNumber_0100010 BinaryNumber_0110010 BinaryNumber_0001000 BinaryNumber_0101011 BinaryNumber_0001011 BinaryNumber_0111011 BinaryNumber_0000001
BinaryNumber_0100010 BinaryNumber_0011010 BinaryNumber_0110001 BinaryNumber_1011111 BinaryNumber_1001100 BinaryNumber_0111100 BinaryNumber_1010010 BinaryNumber_1000110 BinaryNumber_1011010 BinaryNumber_1001010
BinaryNumber_1010010 BinaryNumber_0010010 BinaryNumber_1001100 BinaryNumber_0000000 BinaryNumber_1001010 BinaryNumber_1000011 BinaryNumber_0001011 BinaryNumber_1011111 BinaryNumber_0011100 BinaryNumber_0101000
BinaryNumber_0011010 BinaryNumber_0111001 BinaryNumber_0001011 BinaryNumber_0100100 BinaryNumber_1001100 BinaryNumber_0011110 BinaryNumber_0010101 BinaryNumber_0111101 BinaryNumber_0101010 BinaryNumber_1011001
BinaryNumber_0100110 BinaryNumber_0010001 BinaryNumber_0101010 BinaryNumber_0010011 BinaryNumber_0010010 BinaryNumber_1010111 BinaryNumber_0111111 BinaryNumber_1001011 BinaryNumber_0000010 BinaryNumber_1011101
BinaryNumber_0011001 BinaryNumber_0001100 BinaryNumber_0010111 BinaryNumber_1000111 BinaryNumber_0001011 BinaryNumber_0100011 BinaryNumber_0010100 BinaryNumber_0001001 BinaryNumber_1010111 BinaryNumber_1100000
GreenYellow LavenderBlush LightBlue DeepSkyBlue PaleGoldenrod Indigo LightSlateGray Gray Fuchsia LawnGreen
Orchid Lime Bisque Plum Yellow LightGray OrangeRed IndianRed PowderBlue MediumOrchid
MediumSpringGreen MistyRose LightGoldenrod Tomato Indigo Chartreuse Thistle Plum BlanchedAlmond Brown
DarkSlateBlue GhostWhite Ivory Crimson Fuchsia DarkOliveGreen SandyBrown Red LightYellow FloralWhite
SaddleBrown MistyRose MediumPurple SlateGray OrangeRed Wheat MediumVioletRed LightBlue AntiqueWhite LightSkyBlue
LightSteelBlue IndianRed DarkTurquoise Gainsboro DarkGoldenrod IndianRed LightCoral SteelBlue Khaki DarkOliveGreen
Maroon Lime Bisque Gainsboro GreenYellow Violet LightYellow SteelBlue Red GreenYellow
DarkSalmon DarkTurquoise Brown DarkBlue OliveDrab Red DarkOliveGreen MediumPurple NavajoWhite VioletRed
Ivory Goldenrod MediumSpringGreen Coral DarkSlateBlue DarkViolet MediumBlue LawnGreen Brown MediumOrchid
DarkCyan LightPink WhiteSmoke DimGray DodgerBlue SpringGreen Green IndianRed LightGray DarkFuchsia
LightBlue Firebrick Cyan OrangeRed Thistle Gainsboro HotPink SpringGreen Cyan PaleVioletRed
21:16 11:58 11:19 10:46 21:49 13:23 21:43 11:31 19:16 16:40
19:45 23:20 11:15 20:30 10:21 17:28 10:28 12:51 18:17 23:29
19:32 11:58 14:11 15:30 12:27 12:12 12:25 12:23 21:22 11:52
11:58 14:43 22:32 16:15 17:22 10:37 18:33 13:53 19:19 10:43
13:35 13:16 20:44 23:56 14:44 21:59 11:52 21:54 22:19 15:11
19:59 13:42 23:27 16:15 19:53 12:37 13:38 18:41 22:31 23:14
