MediumPurple LightGoldenrod PaleVioletRed CadetBlue BlueViolet Burlywood Turquoise LightCoral DarkOrchid SandyBrown
MistyRose MintCream Feldspar LightSlateGray DarkViolet Feldspar LightSkyBlue GreenYellow OliveDrab LemonChiffon
PapayaWhip Gray DarkSeaGreen Snow NavajoWhite Cornsilk RosyBrown Brown DarkSeaGreen Olive
Lime Orchid DarkGreen PaleVioletRed Plum LavenderBlush DimGray BlueViolet Gold SeaGreen
Plum Lime Purple MidnightBlue Pink DarkFuchsia Gainsboro Moccasin Cyan Snow
MediumTurquoise LimeGreen IndianRed Linen SandyBrown MidnightBlue LightSkyBlue Violet SlateBlue Pink
OrangeRed GhostWhite VioletRed Fuchsia Purple LightGreen Silver Yellow NavajoWhite Coral
Orange HotPink PaleGoldenrod SandyBrown DarkFuchsia Yellow Yellow MediumTurquoise Orchid PaleTurquoise
Snow DarkTurquoise Peru LightSalmon LightSalmon RosyBrown MediumAquamarine Linen DarkSalmon LightSeaGreen
MediumOrchid Lavender MintCream Firebrick DarkBlue Maroon GhostWhite DarkOrchid Coral MediumBlue
DarkCyan DarkRed White Ivory IndianRed OldLace DimGray HotPink Ivory DeepPink
temperature__2c temperature__131c temperature__11c temperature__109c temperature__93c temperature__116c temperature__54c temperature__144c temperature__73c temperature__140c
temperature__126c temperature__120c temperature__36c temperature__22c temperature__148c temperature__92c temperature__33c temperature__140c temperature__85c temperature__86c
temperature__140c temperature__78c temperature__42c temperature__8c temperature__41c temperature__138c temperature__118c temperature__50c temperature__27c temperature__146c
temperature__46c temperature__130c temperature__82c temperature__140c temperature__118c temperature__87c temperature__139c temperature__68c temperature__40c temperature__73c
temperature__123c temperature__36c temperature__17c temperature__91c temperature__119c temperature__5c temperature__59c temperature__4c temperature__39c temperature__27c
temperature__26c temperature__35c temperature__56c temperature__58c temperature__136c temperature__87c temperature__4c temperature__123c temperature__59c temperature__64c
temperature__105c temperature__100c temperature__68c temperature__98c temperature__122c temperature__21c temperature__63c temperature__118c temperature__105c temperature__52c
temperature__137c temperature__106c temperature__6c temperature__88c temperature__109c temperature__144c temperature__56c temperature__33c temperature__86c temperature__17c
