DarkKhaki FloralWhite Coral DarkSlateBlue OldLace LightBlue LightGreen DarkGreen CornflowerBlue Beige
LightYellow Linen Fuchsia Violet Feldspar Honeydew Cornsilk Lavender LightGoldenrodYellow HotPink
Sienna LightGray SaddleBrown SlateGray DarkOrange SpringGreen DarkSeaGreen Blue LightSteelBlue DarkKhaki
Gold Ivory RosyBrown PaleVioletRed CadetBlue Tomato MediumTurquoise Coral SlateBlue Green
SlateBlue Chocolate Cornsilk DimGray DeepSkyBlue Turquoise MediumSlateBlue MediumSlateBlue Ivory SkyBlue
Chocolate BlueViolet Tan SlateGray Brown BlanchedAlmond Turquoise DarkGray MediumVioletRed MidnightBlue
SkyBlue DeepSkyBlue IndianRed DarkTurquoise MediumSeaGreen Wheat LimeGreen LightSlateBlue DarkSlateBlue Snow
Firebrick Blue Tomato LightGray WhiteSmoke Ivory DarkViolet DeepSkyBlue Indigo PapayaWhip
LawnGreen Red DarkOrange PaleVioletRed SlateGray PaleTurquoise Moccasin Cyan Linen NavajoWhite
DarkRed SlateGray DarkSeaGreen MidnightBlue DeepPink Gainsboro GreenYellow Seashell Teal LightGreen
Navy DarkOrchid LightSalmon WhiteSmoke Wheat MintCream LightBlue Green MediumOrchid ForestGreen
BinaryNumber_1000100 BinaryNumber_0100011 BinaryNumber_1010100 BinaryNumber_1001101 BinaryNumber_0110000 BinaryNumber_0011110 BinaryNumber_1011000 BinaryNumber_0010101 BinaryNumber_1001011 BinaryNumber_0110011
BinaryNumber_1010110 BinaryNumber_0000010 BinaryNumber_0101101 BinaryNumber_1100011 BinaryNumber_0010110 BinaryNumber_1010111 BinaryNumber_1011011 BinaryNumber_1000110 BinaryNumber_0011010 BinaryNumber_1010101
BinaryNumber_1010011 BinaryNumber_0010011 BinaryNumber_0100001 BinaryNumber_0011101 BinaryNumber_1000110 BinaryNumber_0111100 BinaryNumber_0100001 BinaryNumber_1001101 BinaryNumber_0010010 BinaryNumber_1001000
BinaryNumber_0111010 BinaryNumber_0000011 BinaryNumber_0001111 BinaryNumber_0101000 BinaryNumber_1010101 BinaryNumber_0010010 BinaryNumber_0000110 BinaryNumber_0001110 BinaryNumber_0010011 BinaryNumber_0101101
BinaryNumber_1001100 BinaryNumber_0011110 BinaryNumber_0010011 BinaryNumber_0100111 BinaryNumber_0000011 BinaryNumber_1010011 BinaryNumber_0100110 BinaryNumber_0000110 BinaryNumber_0100001 BinaryNumber_0011110
BinaryNumber_1000100 BinaryNumber_1010110 BinaryNumber_0100101 BinaryNumber_0001101 BinaryNumber_0011001 BinaryNumber_0100100 BinaryNumber_1001000 BinaryNumber_1010011 BinaryNumber_1010001 BinaryNumber_0110110
BinaryNumber_0000001 BinaryNumber_1000110 BinaryNumber_0011001 BinaryNumber_1011101 BinaryNumber_1010000 BinaryNumber_1011101 BinaryNumber_1001011 BinaryNumber_1000010 BinaryNumber_0000111 BinaryNumber_0110000
BinaryNumber_0110000 BinaryNumber_1010001 BinaryNumber_1010000 BinaryNumber_1001100 BinaryNumber_1001011 BinaryNumber_0000011 BinaryNumber_0001101 BinaryNumber_1000111 BinaryNumber_0010001 BinaryNumber_1001101
BinaryNumber_0111110 BinaryNumber_1011111 BinaryNumber_0000011 BinaryNumber_0001001 BinaryNumber_1000111 BinaryNumber_0010010 BinaryNumber_0010111 BinaryNumber_0011101 BinaryNumber_0011110 BinaryNumber_0110010
BinaryNumber_1000100 BinaryNumber_0000110 BinaryNumber_1000101 BinaryNumber_0000101 BinaryNumber_0100011 BinaryNumber_0010011 BinaryNumber_0111011 BinaryNumber_0111100 BinaryNumber_1001110 BinaryNumber_0111110
BinaryNumber_0101111 BinaryNumber_0101100 BinaryNumber_0000010 BinaryNumber_1001010 BinaryNumber_0101110 BinaryNumber_1010001 BinaryNumber_0011110 BinaryNumber_0011110 BinaryNumber_1011010 BinaryNumber_1010011
nourishment drinks meal drinks rice plant eat nourishment eat sushi
meat pasta provender restaurant animal nourishment seafood soup eat eat
