Date Guava Cherry Pineberry Bilberry Cashew Longan Cempedak Pomegranate Soursop
Honeydew Elderberry Cloudberry Tangelo Cantaloupe Cempedak Tangelo Raspberry Lemon Avocado
Prune Tamarind Lime Tangelo Mango Grapefruit Grape Breadfruit Acerola Redcurrant
Satsuma Kumquat Lychee Honeydew Jujube Prune Orange Persimmon Salmonberry Canistel
Plumcot Araza Clementine Yuzu Soursop Cherimoya Lime Pineberry Grapefruit Cherry
Blackcurrant Pomegranate Akebi Tamarind Jujube Cantaloupe Canistel Tamarind Akebi Apple
Canistel Durian Blackberry Blackberry Salak Cherimoya Orange Ackee Strawberry Currant
Tangerine Elderberry Passionfruit Jackfruit Kumquat Yuzu Cantaloupe Raisin Papaya Cashew
Breadfruit Cashew Clementine Grapefruit Mandarine Ximenia Honeyberry Lychee Blueberry Raisin
Jujube Breadfruit Prune Lime Longan Tamarind Pear Lime Açaí Lime
Elderberry Cranberry Acerola Soursop Breadfruit Sapodilla Honeydew Breadfruit Bilberry Feijoa
BinaryNumber_0011111 BinaryNumber_0010000 BinaryNumber_0000101 BinaryNumber_0111101 BinaryNumber_0101001 BinaryNumber_1000101 BinaryNumber_0010001 BinaryNumber_1010110 BinaryNumber_1001110 BinaryNumber_0001110
BinaryNumber_1010110 BinaryNumber_1000000 BinaryNumber_0101111 BinaryNumber_0111011 BinaryNumber_0011001 BinaryNumber_0001101 BinaryNumber_1011000 BinaryNumber_0101101 BinaryNumber_0100000 BinaryNumber_1010110
BinaryNumber_1010111 BinaryNumber_0100111 BinaryNumber_1000110 BinaryNumber_0001011 BinaryNumber_0010000 BinaryNumber_0101101 BinaryNumber_1001110 BinaryNumber_1001110 BinaryNumber_0100001 BinaryNumber_1010011
BinaryNumber_1011001 BinaryNumber_0100011 BinaryNumber_0010010 BinaryNumber_1000100 BinaryNumber_0000101 BinaryNumber_1011100 BinaryNumber_0010011 BinaryNumber_1010111 BinaryNumber_1100011 BinaryNumber_0111011
BinaryNumber_0001101 BinaryNumber_0010001 BinaryNumber_0111101 BinaryNumber_1000000 BinaryNumber_1001111 BinaryNumber_0100001 BinaryNumber_1001000 BinaryNumber_1001101 BinaryNumber_0000010 BinaryNumber_0110000
BinaryNumber_0010111 BinaryNumber_1001111 BinaryNumber_0010011 BinaryNumber_1011101 BinaryNumber_0001101 BinaryNumber_0010011 BinaryNumber_0001111 BinaryNumber_0001100 BinaryNumber_0110100 BinaryNumber_1000101
BinaryNumber_0001011 BinaryNumber_1011101 BinaryNumber_0011011 BinaryNumber_0010100 BinaryNumber_1000010 BinaryNumber_1011100 BinaryNumber_0000101 BinaryNumber_1000110 BinaryNumber_0111011 BinaryNumber_1001010
