Cornsilk Linen SkyBlue Chartreuse BlanchedAlmond DimGray Chocolate LightCyan Coral LightSlateGray
DarkViolet PaleVioletRed GreenYellow DarkGreen MediumOrchid Azure Tan LightGoldenrod MediumBlue Linen
MediumSlateBlue LightGoldenrod LightSteelBlue FloralWhite DodgerBlue OldLace MidnightBlue LightPink SkyBlue Linen
Coral LightBlue Cornsilk MediumPurple White DarkOrchid Chartreuse LightGoldenrod MediumAquamarine Gainsboro
RosyBrown Seashell DeepSkyBlue White OliveDrab DarkSeaGreen LightSteelBlue MediumSlateBlue DarkBlue Fuchsia
PaleTurquoise LimeGreen Blue OliveDrab DarkSlateBlue White SlateGray White DarkOrange RoyalBlue
Plum DimGray Firebrick Plum SeaGreen HotPink SpringGreen SandyBrown LightPink PaleVioletRed
Blue Khaki SpringGreen SeaGreen DarkFuchsia Crimson Salmon DarkGreen Feldspar LightGreen
Red MediumTurquoise LightBlue Green LightGray IndianRed DeepPink DodgerBlue Feldspar White
LightYellow LightSlateGray Gold RosyBrown DarkGray Bisque DarkFuchsia Salmon GreenYellow AliceBlue
PowderBlue Bisque Orange DarkSlateBlue GhostWhite AntiqueWhite Tan DeepSkyBlue Beige LightSteelBlue
CubeNumber_216000 CubeNumber_205379 CubeNumber_50653 CubeNumber_54872 CubeNumber_27 CubeNumber_531441 CubeNumber_6859 CubeNumber_19683 CubeNumber_12167 CubeNumber_571787
CubeNumber_74088 CubeNumber_1728 CubeNumber_15625 CubeNumber_216 CubeNumber_1000 CubeNumber_389017 CubeNumber_830584 CubeNumber_343 CubeNumber_238328 CubeNumber_4096
CubeNumber_19683 CubeNumber_13824 CubeNumber_753571 CubeNumber_97336 CubeNumber_405224 CubeNumber_2744 CubeNumber_592704 CubeNumber_804357 CubeNumber_1331 CubeNumber_74088
CubeNumber_13824 CubeNumber_1331 CubeNumber_474552 CubeNumber_110592 CubeNumber_729000 CubeNumber_592704 CubeNumber_27 CubeNumber_35937 CubeNumber_50653 CubeNumber_474552
