MintCream DarkSlateBlue VioletRed Goldenrod GreenYellow Pink LightSalmon DeepPink PaleGoldenrod Tomato
LimeGreen Chocolate Firebrick MintCream Cyan SkyBlue DarkSlateGray Red MistyRose MintCream
Teal Indigo Linen Violet SlateBlue Maroon SlateBlue White SeaGreen MidnightBlue
DarkGoldenrod DarkBlue MediumVioletRed PaleGreen LightGoldenrodYellow Beige AliceBlue OliveDrab DarkFuchsia Crimson
DarkSlateGray DeepPink Seashell SaddleBrown CornflowerBlue OldLace Lime LightYellow MediumTurquoise MediumSeaGreen
Navy MidnightBlue DarkViolet Honeydew Silver Honeydew Pink DarkGreen BlanchedAlmond DarkKhaki
Khaki LightGoldenrod Orange Lime Khaki Turquoise MediumVioletRed Brown Coral CadetBlue
PowderBlue Silver Thistle OrangeRed LightGray DarkBlue DeepSkyBlue Honeydew Chocolate OrangeRed
Sienna DarkRed Plum White PeachPuff SteelBlue Cyan SaddleBrown SeaGreen Yellow
Violet PeachPuff DarkOliveGreen Wheat LimeGreen PeachPuff Indigo Olive LightYellow Tan
DodgerBlue MediumTurquoise LightCoral PaleGreen Red DarkSalmon Azure Indigo DarkKhaki DarkGreen
CubeNumber_1331 CubeNumber_804357 CubeNumber_85184 CubeNumber_328509 CubeNumber_389017 CubeNumber_704969 CubeNumber_614125 CubeNumber_438976 CubeNumber_300763 CubeNumber_704969
CubeNumber_117649 CubeNumber_592704 CubeNumber_300763 CubeNumber_5832 CubeNumber_19683 CubeNumber_27 CubeNumber_54872 CubeNumber_91125 CubeNumber_262144 CubeNumber_216000
CubeNumber_857375 CubeNumber_614125 CubeNumber_912673 CubeNumber_857375 CubeNumber_438976 CubeNumber_300763 CubeNumber_9261 CubeNumber_373248 CubeNumber_166375 CubeNumber_8
CubeNumber_216 CubeNumber_195112 CubeNumber_5832 CubeNumber_157464 CubeNumber_9261 CubeNumber_551368 CubeNumber_778688 CubeNumber_79507 CubeNumber_474552 CubeNumber_13824
CubeNumber_46656 CubeNumber_9261 CubeNumber_1331 CubeNumber_287496 CubeNumber_175616 CubeNumber_216000 CubeNumber_46656 CubeNumber_778688 CubeNumber_15625 CubeNumber_216
CubeNumber_1331 CubeNumber_636056 CubeNumber_5832 CubeNumber_262144 CubeNumber_300763 CubeNumber_85184 CubeNumber_512 CubeNumber_300763 CubeNumber_493039 CubeNumber_2744
