Currant Pineapple Watermelon Tangelo Nance Ackee Nectarine Mulberry Jambul Honeyberry
Melon Soursop Guava Lulo Tamarillo Grape Açaí Quince Raspberry Tayberry
Damson Coconut Lychee Redcurrant Pineapple Sapodilla Ackee Apricot Passionfruit Longan
Marionberry Coconut Sapodilla Papaya Coconut Tamarillo Loganberry Gooseberry Loquat Huckleberry
Lemon Tangelo Blueberry Pomegranate Canistel Soursop Plumcot Damson Marionberry Coconut
Abiu Blueberry Pineberry Ackee Coconut Canistel Mangosteen Melon Clementine Grapefruit
Cherimoya Loganberry Plum Jambul Tamarind Acerola Peach Cashew Jostaberry Passionfruit
Passionfruit Cloudberry Plantain Araza Cempedak Satsuma Loganberry Longan Satsuma Sapote
Loganberry Mango Persimmon Quince Ackee Jujube Cantaloupe Pomelo Lime Quince
Blackberry Soursop Grape Jambul Honeydew Blackcurrant Papaya Açaí Kiwano Feijoa
Nectarine Rambutan  Damson Lemon Apple Marionberry Papaya Sapodilla Raisin Blueberry
Fuchsia FloralWhite LightYellow Chartreuse MediumSpringGreen Wheat PaleGreen PapayaWhip Orange LemonChiffon
Chocolate Chartreuse PaleVioletRed Green Crimson LimeGreen RoyalBlue BlueViolet DodgerBlue Plum
DarkGray Silver SkyBlue VioletRed DarkGreen Honeydew Indigo Plum MediumPurple SpringGreen
Pink SaddleBrown DarkGray SaddleBrown Yellow DarkOrange Khaki LawnGreen DarkOrchid AntiqueWhite
DarkOrange Burlywood LightSlateBlue Cyan DarkGreen Indigo Yellow LawnGreen Chocolate Cyan
WhiteSmoke LightGreen LightSteelBlue BlueViolet DarkCyan DarkSalmon AliceBlue Khaki MediumSpringGreen Lavender
LightBlue LightSteelBlue GreenYellow MediumVioletRed DarkOrchid HotPink DarkFuchsia IndianRed Teal DarkGreen
Salmon LightSlateBlue Yellow Tan Thistle PaleVioletRed Moccasin LemonChiffon LightGray Violet
DarkGray OldLace DeepPink Chocolate MediumTurquoise MediumOrchid Burlywood GhostWhite DarkOliveGreen OrangeRed
SlateGray Fuchsia LightSlateGray LightCyan DarkGoldenrod HotPink Aquamarine Gold Pink Feldspar
PowderBlue LavenderBlush Seashell PaleGreen SlateBlue LightGray Thistle RoyalBlue Cornsilk DimGray
BinaryNumber_1011110 BinaryNumber_0111110 BinaryNumber_0011011 BinaryNumber_0101010 BinaryNumber_1011001 BinaryNumber_0010100 BinaryNumber_0110011 BinaryNumber_0110011 BinaryNumber_1000011 BinaryNumber_0110000
BinaryNumber_1000010 BinaryNumber_0010101 BinaryNumber_0100000 BinaryNumber_1100000 BinaryNumber_1001111 BinaryNumber_1011011 BinaryNumber_1001000 BinaryNumber_1001001 BinaryNumber_0100000 BinaryNumber_1011000
BinaryNumber_0000101 BinaryNumber_0011000 BinaryNumber_0001011 BinaryNumber_1011101 BinaryNumber_0101111 BinaryNumber_0011000 BinaryNumber_0010011 BinaryNumber_1000000 BinaryNumber_0000110 BinaryNumber_1001100
BinaryNumber_1001000 BinaryNumber_1001010 BinaryNumber_1011100 BinaryNumber_1011001 BinaryNumber_0101110 BinaryNumber_0110001 BinaryNumber_1001010 BinaryNumber_1001000 BinaryNumber_0100110 BinaryNumber_1011001
