Avocado Grape Tangerine Salmonberry Passionfruit Pawpaw Apple Nectarine Feijoa Honeyberry
Honeyberry Tayberry Pomelo Pomelo Cranberry Blueberry Redcurrant Peach Tamarind Apple
Persimmon Jujube Orange Huckleberry Lulo Soursop Breadfruit Kiwifruit Nectarine Jackfruit
Pawpaw Salak Honeyberry Fig Satsuma Date Quince Abiu Peach Clementine
Damson Rambutan  Nectarine Cranberry Ximenia Fig Elderberry Canistel Satsuma Grape
Raspberry Akebi Banana Cantaloupe Mandarine Loquat Orange Cashew Watermelon Gooseberry
Pineapple Apple Clementine Plantain Grape Currant Blueberry Pineberry Prune Breadfruit
Cherimoya Redcurrant Lychee Salak Currant Durian Avocado Cherimoya Marionberry Loganberry
Lychee Breadfruit Durian Plumcot Mangosteen Guava Breadfruit Damson Banana Mulberry
Blueberry Plantain Pomelo Cashew Pineapple Lemon Yuzu Redcurrant Durian Blackberry
Fig Kiwifruit Mulberry Nance Nance Mangosteen Longan Nance Tamarillo Tayberry
temperature__23c temperature__64c temperature__124c temperature__129c temperature__34c temperature__36c temperature__44c temperature__58c temperature__34c temperature__70c
temperature__46c temperature__112c temperature__148c temperature__139c temperature__35c temperature__41c temperature__23c temperature__64c temperature__47c temperature__54c
temperature__49c temperature__116c temperature__64c temperature__4c temperature__21c temperature__137c temperature__59c temperature__65c temperature__132c temperature__22c
temperature__4c temperature__21c temperature__6c temperature__70c temperature__54c temperature__40c temperature__71c temperature__98c temperature__5c temperature__17c
temperature__28c temperature__35c temperature__92c temperature__64c temperature__130c temperature__124c temperature__106c temperature__28c temperature__86c temperature__59c
temperature__24c temperature__23c temperature__77c temperature__100c temperature__111c temperature__56c temperature__12c temperature__11c temperature__11c temperature__129c
temperature__88c temperature__21c temperature__108c temperature__33c temperature__98c temperature__95c temperature__82c temperature__61c temperature__31c temperature__63c
temperature__100c temperature__84c temperature__27c temperature__41c temperature__16c temperature__12c temperature__91c temperature__108c temperature__126c temperature__69c
temperature__3c temperature__26c temperature__98c temperature__28c temperature__23c temperature__54c temperature__106c temperature__120c temperature__144c temperature__148c
temperature__98c temperature__84c temperature__33c temperature__64c temperature__98c temperature__7c temperature__142c temperature__122c temperature__71c temperature__24c
