Plum Lychee Prune Longan Satsuma Clementine Durian Avocado Huckleberry Bilberry
Blackberry Kiwano Sapodilla Guava Guava Ximenia Jackfruit Blueberry Redcurrant Durian
Lime Cherimoya Yuzu Ximenia Tangelo Quince Cloudberry Salak Ackee Cashew
Mulberry Jambul Mandarine Strawberry Jackfruit Plumcot Elderberry Durian Ximenia Loganberry
Loquat Apple Passionfruit Clementine Soursop Fig Tayberry Honeyberry Currant Quince
Rambutan  Tayberry Persimmon Ackee Prune Kiwano Plum Orange Tangelo Nectarine
Elderberry Prune Blueberry Bilberry Apricot Cantaloupe Bilberry Mulberry Coconut Boysenberry
Plantain Loquat Passionfruit Passionfruit Ackee Mango Kiwano Grapefruit Grapefruit Kumquat
Cempedak Cherimoya Açaí Tamarillo Cherry Honeyberry Lemon Cherry Lychee Fig
Tangerine Cloudberry Cloudberry Salmonberry Ximenia Elderberry Raspberry Breadfruit Canistel Apple
Pineberry Blueberry Currant Kiwano Watermelon Rambutan  Bilberry Pomelo Raspberry Lime
BinaryNumber_0110001 BinaryNumber_0000111 BinaryNumber_1011110 BinaryNumber_0111101 BinaryNumber_0101010 BinaryNumber_0011011 BinaryNumber_0101110 BinaryNumber_1011000 BinaryNumber_0100001 BinaryNumber_0001010
BinaryNumber_1100001 BinaryNumber_1010110 BinaryNumber_0100010 BinaryNumber_0111110 BinaryNumber_0011111 BinaryNumber_1100001 BinaryNumber_0111000 BinaryNumber_0110110 BinaryNumber_0000011 BinaryNumber_0010001
BinaryNumber_0111010 BinaryNumber_1011111 BinaryNumber_0111000 BinaryNumber_1001011 BinaryNumber_0000111 BinaryNumber_1010001 BinaryNumber_0000010 BinaryNumber_1001000 BinaryNumber_0100011 BinaryNumber_0100111
BinaryNumber_1010010 BinaryNumber_1001011 BinaryNumber_1100011 BinaryNumber_1001100 BinaryNumber_0111010 BinaryNumber_1001111 BinaryNumber_1000100 BinaryNumber_0100111 BinaryNumber_0100010 BinaryNumber_1000111
BinaryNumber_1000010 BinaryNumber_1010110 BinaryNumber_1000000 BinaryNumber_1011111 BinaryNumber_0000010 BinaryNumber_0100011 BinaryNumber_0111011 BinaryNumber_0010010 BinaryNumber_0010110 BinaryNumber_0010111
BinaryNumber_0000001 BinaryNumber_1011000 BinaryNumber_1011101 BinaryNumber_0101010 BinaryNumber_0110111 BinaryNumber_1010110 BinaryNumber_0101111 BinaryNumber_1000011 BinaryNumber_1011100 BinaryNumber_1000011
BinaryNumber_0010101 BinaryNumber_0000111 BinaryNumber_1000010 BinaryNumber_1000101 BinaryNumber_0111100 BinaryNumber_1011100 BinaryNumber_1001000 BinaryNumber_0010100 BinaryNumber_1011110 BinaryNumber_0111000
BinaryNumber_0011111 BinaryNumber_1001111 BinaryNumber_1001010 BinaryNumber_0001100 BinaryNumber_1000111 BinaryNumber_1010101 BinaryNumber_1010001 BinaryNumber_0011110 BinaryNumber_0100000 BinaryNumber_1010010
BinaryNumber_1011001 BinaryNumber_1001100 BinaryNumber_0010110 BinaryNumber_0111110 BinaryNumber_0000101 BinaryNumber_0011010 BinaryNumber_0101010 BinaryNumber_1001100 BinaryNumber_1001101 BinaryNumber_0110001
