MediumSeaGreen Cyan MistyRose DarkKhaki SandyBrown PowderBlue Snow ForestGreen LightSeaGreen SkyBlue
RosyBrown DarkRed PaleVioletRed LavenderBlush Brown MediumBlue WhiteSmoke HotPink LightPink Chartreuse
PaleGoldenrod Burlywood PaleGreen LightSlateGray OliveDrab Goldenrod Chartreuse Yellow LightSlateGray MediumTurquoise
LightGoldenrodYellow DarkKhaki ForestGreen VioletRed PaleGoldenrod Wheat LightSlateBlue Gold DarkGray Green
SeaGreen VioletRed Azure SlateBlue Thistle WhiteSmoke White SlateBlue Violet LightCyan
MidnightBlue Honeydew LightGray Blue PeachPuff Chartreuse AntiqueWhite Seashell BlanchedAlmond LightGreen
Gold Khaki Purple Maroon MediumSlateBlue Bisque Gold Cyan LightGoldenrod Teal
LightGoldenrodYellow Plum SkyBlue PaleTurquoise Beige Seashell LightCoral Moccasin LightSalmon SteelBlue
DarkKhaki Chartreuse Black Maroon HotPink Moccasin GhostWhite LightYellow LightSalmon DarkSalmon
Indigo DarkRed DarkCyan Wheat DarkSlateGray Black GreenYellow OrangeRed Feldspar IndianRed
MediumVioletRed SteelBlue LightCyan Gold MintCream Honeydew LightGoldenrodYellow LightYellow LightSteelBlue Brown
18:59 19:35 12:52 12:27 20:23 20:28 16:20 23:23 12:49 13:33
15:57 18:39 12:35 11:54 16:47 23:50 11:23 18:23 10:37 17:35
18:46 14:38 21:31 22:25 23:28 19:32 15:52 20:20 18:52 23:19
21:15 10:56 20:14 12:12 10:59 10:47 22:39 14:46 14:23 12:33
18:53 22:22 12:29 13:16 17:10 18:58 21:58 10:31 10:56 21:19
13:33 23:46 12:36 10:20 13:54 21:34 19:53 15:11 21:51 18:38
19:41 11:24 17:57 15:35 16:12 11:32 12:25 23:37 22:40 16:21
20:24 13:51 15:43 15:36 11:52 19:37 20:58 19:20 15:51 11:26
21:36 16:38 23:40 22:55 11:35 22:10 14:57 17:35 12:16 13:51
19:33 12:45 14:55 21:18 16:33 14:47 12:21 14:16 17:32 20:29
23:14 15:47 20:48 20:59 10:19 12:33 22:51 19:41 20:51 23:47
Ovaries Hypothalamus Trachea Tongue Cochlea Muscle Joints Veins Rectum Ureter
Smallintestine Stomach Veins Placenta Uterus Vagina Liver Veins Bone  Arteries
Cranialnerves Heart Fallopiantubes Tongue Innerear Bronchi Innerear Lungs Veins Ileum
Heart Cranialnerves Brain Pharynx Retina skeleton Capillaries Brain Stomach Clitoris
Esophagus skeleton Cornea Ganglia Ciliarybody Lungs Pharynx Ureter Thymus Muscle
