MediumSlateBlue DarkSalmon Gainsboro Maroon DarkFuchsia Crimson LightCoral DarkOrange SpringGreen LightGoldenrodYellow
LightSkyBlue DimGray DarkSalmon MediumPurple Salmon Seashell Orchid DodgerBlue Cornsilk PaleGoldenrod
LightSteelBlue Maroon GhostWhite BlueViolet Gray RoyalBlue LightGreen NavajoWhite SlateGray MediumTurquoise
Lime MediumPurple LightGreen CadetBlue Pink LightGreen LightSteelBlue DarkViolet Olive Turquoise
Firebrick Gray BlanchedAlmond Cornsilk PapayaWhip LavenderBlush OldLace Silver Salmon Lavender
PowderBlue LavenderBlush DodgerBlue GhostWhite PaleGoldenrod PapayaWhip LightBlue Cornsilk Green IndianRed
Fuchsia Moccasin Thistle Chocolate CornflowerBlue Aquamarine VioletRed DarkSalmon LightPink DarkOrchid
Pink DarkBlue Silver Chartreuse Ivory Aquamarine DarkKhaki Sienna Black NavajoWhite
LightYellow ForestGreen DarkOrchid DarkGoldenrod LightYellow DarkBlue GreenYellow Lime MediumTurquoise LavenderBlush
Khaki Gold Gold SeaGreen LightPink MediumSeaGreen Orange PowderBlue DarkSlateBlue DarkGreen
SlateGray LightSalmon Chocolate Navy LightCoral SteelBlue Gold DarkGoldenrod Plum Turquoise
brutality threats human jurisdiction offenses crime criminals punitive homicides liberty
pirate poverty criminality felony pirate country punishment assault guilt country
homicide shootings snitching sentence fraud crime vandalism offense legal transgression
drug corruption accident criminality sin law-breaking gangsterism genocide structuralism murders
detective shoplift highjack liberty action accident action mutilation hijack gangsterism
snitching legal cop offence assault felony trial legal missing political
guilty sin trial legal punishment imprisonment psychological crisis pirate offenders
illegal misdemeanor conspiracy rape misdemeanour dark government criminal police corruption
legislature snitching thriller revenge forensic death offense revenge prison dark
tort police poison supernatural death tort illegal incarceration story cases
heist brutality jurisdiction psychological investigation psychological criminal prostitution law-breaking corrupt
rabbit zoo zoology object biped mammal sheep rabbit scavenger vegan
mythical multicellular cats heterotroph cat eukaryotic bug birds multicellular plant
monster metazoan dogs feline bear scavenger feline fantasy wild protist
reptiles scavenger darter plant creature puppy biped protist pig marineanimal
jellyfish zoology creature porifera animals invertebrate reptile reptiles zoology feline
tiger zooplankton metazoan predatoryanimal bobcat llamas bird mythical clams fantasy
chordate protist pet predatoryanimal sensual pigs workanimal metazoan dogs animals
zoology farming cats animalkingdom animals primate rabbit animatebeing raccoon vegan
insect fish bug invertebrate octopuses workanimal insectivorous ladybug domesticate demon
frog pet livestock heterotroph thoroughbred wildlife insectivore bird domesticate ladybug
rabbit livestock puppy embryo frog cat mammal fauna exoticanimals biped
temperature__51c temperature__77c temperature__69c temperature__118c temperature__132c temperature__132c temperature__112c temperature__4c temperature__116c temperature__139c
temperature__64c temperature__17c temperature__56c temperature__41c temperature__116c temperature__44c temperature__10c temperature__74c temperature__111c temperature__100c
temperature__90c temperature__139c temperature__69c temperature__22c temperature__14c temperature__137c temperature__22c temperature__108c temperature__82c temperature__95c
